value,filename
The residents of Dumas who succeeded,88310_1.txt
in maintaining order and preventing,88310_1.txt
several mobs from lynching,88310_1.txt
"Rhea and several of the negroes,",88310_1.txt
have petitioned Judge Grace to call,88310_1.txt
a special term of the court in order,88310_1.txt
to dispose of the cases without further,88310_1.txt
delay. They say that this much,88310_1.txt
is due them as they promised mein,88310_1.txt
bers of the mobs that they would,88310_1.txt
have the men tried immediately.,88310_1.txt
"James Hubbard, one of the negroes",88310_1.txt
who accompanied Rhea and his negro,88310_1.txt
detachment from the Lenox plantation,88310_1.txt
on the night that Archard was,88310_1.txt
"shot to death, after the Constable nad",88310_1.txt
"arrested Grant Sanders, a negro,",88310_1.txt
murder,88310_1.txt
"""",88310_1.txt
wanted at Farrell on a,88310_1.txt
"charge, was killed early Monday",88310_1.txt
Special Officer W. D.,88310_1.txt
morning by,88310_1.txt
"Higinbotham, while trying to escape.",88310_1.txt
Hubbard was also a member of the,88310_1.txt
negro mob and had been arrested,88310_1.txt
with the others. Four negro Wo,88310_1.txt
"men and seven negro men, arrested",88310_1.txt
"as witnesses, were discharged.",88310_1.txt
It required many appeals from Deputy,88310_1.txt
Prosecuting Attorney T. G. Par,88310_1.txt
ham of this city and Constable A. F.,88310_1.txt
"McNeill, of Redfield, to prevent the",88310_1.txt
"lynching of Grant Sanders, a",88310_1.txt
"prisoner, at Dumas Monday negro and",88310_1.txt
MOB LYNCHED A MINSTREL.,88311_0.txt
"Said He Was a"" Yankee Nigger and",88311_0.txt
"Took No Impudence.""",88311_0.txt
"Shreveport, La. 17.- A member",88311_0.txt
of a traveling colored minstrel,88311_0.txt
troupe who gave his name as,88311_0.txt
"Homer Rogers, was hanged by a",88311_0.txt
mob in Morehouse parish last,88311_0.txt
night and his body riddled with,88311_0.txt
bullets.,88311_0.txt
So far as can be ascertained,88311_0.txt
when,88311_0.txt
resulted,88311_0.txt
the lynching,88311_0.txt
Rogers resented a remark made,88311_0.txt
"by a white man, declaring he was",88311_0.txt
a Yankee nigger and did not,88311_0.txt
"take"" any impudence.""",88311_0.txt
NEGRO SLAYER IS,88312_0.txt
BURNED AT STAKE,88312_0.txt
Henry Lowry Pays Penalty for,88312_0.txt
Killings- Posse of Arkansans,88312_0.txt
Seizes Black From Officers on,88312_0.txt
"Train at Sardis, Miss.",88312_0.txt
"Little Rock, Jan. 26.- Gov. Thomas",88312_0.txt
C. McRae tonight characterized the,88312_0.txt
"lynching of Henry Lowery, negro, at",88312_0.txt
"Modena, Ark., as the most disreputable",88312_0.txt
"act ever committed in Arkansas,",88312_0.txt
and declared that he would recommend,88312_0.txt
to the legislature that any,88312_0.txt
sheriff or officer who permits or does,88312_0.txt
not prevent the lynching of a person,88312_0.txt
in his jurisdiction be summarily re,88312_0.txt
moved from office.,88312_0.txt
Acting on instruction from Gov.,88312_0.txt
"McRae, Assistant Adjutant General",88312_0.txt
Friedman this evening telephoned,88312_0.txt
commanders of American Legion,88312_0.txt
posts at Wilson and Blytheville and,88312_0.txt
urged them to take all steps possible,88312_0.txt
to prevent lynchings and preserve,88312_0.txt
order.,88312_0.txt
At Wilson the legion commander,88312_0.txt
"said, however, that feeling against",88312_0.txt
Henry Lowery was so acute that he,88312_0.txt
doubted if the lynching could be averted,88312_0.txt
". Lowery was expected at Nodena,",88312_0.txt
"near Wilson, Thursday. Plans had",88312_0.txt
been made to lynch him immediately,88312_0.txt
upon his arrival. The posse taking,88312_0.txt
him to Nodena had been delayed in,88312_0.txt
the Mississippi at Milling,88312_0.txt
"ton crossing, Tenn.",88312_0.txt
"Chattanooga, Tenn., March 11- A",88314_0.txt
message from Lebanon states that news,88314_0.txt
had been received there that the mob,88314_0.txt
which lynched Jackson Pressler in Rus-,88314_0.txt
sell county was being increased and was,88314_0.txt
on its way to Lebanon with a view to,88314_0.txt
"lynching Gross and Dye, the two men",88314_0.txt
in jail for same crime of which Press,88314_0.txt
ler was accused the. The sheriff immediate-,88314_0.txt
MOB LYNCHES A WHITE MAN.,88314_0.txt
. And Starts For Jail Twenty Miles Away,88314_0.txt
For Two More Victims.,88314_0.txt
"Bristol, Va., March 11.- Jackson Pres-",88314_0.txt
"ler, a young married man, has been",88314_0.txt
taken from his home near Swords Creek,88314_0.txt
"Russell County, in spite of his wife's",88314_0.txt
mob and hang,88314_0.txt
appeal by of 300-,88314_0.txt
. men,88314_0.txt
a,88314_0.txt
"ed to, a tree.",88314_0.txt
Great Britain's lead. in the aggregate,88316_0.txt
", Minn., and",88316_0.txt
of the Elks in second and third places were,88316_0.txt
counted it alone would bring the two,88316_0.txt
countries to about equal terms.,88316_0.txt
president of the A,88316_0.txt
ONE- LEGGED NEGRO LYNCHED.,88317_0.txt
Mob Takes Man Who Confessed,88317_0.txt
"From Jail in Elkton, Ky.",88317_0.txt
"Elkton. Ky., Oct. 12- Shortly after midnight",88317_0.txt
"a mob, supposed to be from Tren",88317_0.txt
