"","X","newspaper","location","date1","year","full_text","date_original","full_state","state1","city1","full_state1","city","state","pubX","publication","black","Newspapers"
"1",1,"The state journal.","Harrisburg, Pa.","May 31",1884,"The state journal. [volume] (Harrisburg, Pa.), May 31, 1884, Image 1","May 31, 1884","Pennsylvania","Pa","Harrisburg",NA,"Harrisburg","Pa.","the state journal","The State Journal","Y","The State Journal (Harrisburg, Pa.) 1883-1885"
"2",2,"The Cleveland gazette.","Cleveland, Ohio","November 21",1885,"The Cleveland gazette. [volume] (Cleveland, Ohio), November 21, 1885, Image 1","November 21, 1885","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"3",3,"The Manning times.","Manning, Clarendon County, S.C.","November 09",1887,"The Manning times. [volume] (Manning, Clarendon County, S.C.), November 09, 1887, Image 1","November 09, 1887","South Carolina","Clarendon County","Manning","South Carolina","Manning","Clarendon County","the manning times",NA,"N",NA
"4",4,"The New York freeman.","New York [N.Y.]","August 20",1887,"The New York freeman. [volume] (New York [N.Y.]), August 20, 1887, Image 4","August 20, 1887","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york freeman","The New York Freeman","Y","The New York Freeman (New York [N.Y.]) 1884-1887"
"5",5,"The Washington bee.","Washington, D.C.","August 04",1888,"The Washington bee. [volume] (Washington, D.C.), August 04, 1888, Image 2","August 04, 1888","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"6",6,"The New York age.","New York [N.Y.]","August 11",1888,"The New York age. [volume] (New York [N.Y.]), August 11, 1888, Image 1","August 11, 1888","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"7",7,"Huntsville gazette.","Huntsville, Ala.","January 05",1889,"Huntsville gazette. [volume] (Huntsville, Ala.), January 05, 1889, Image 2","January 05, 1889","Alabama","Ala","Huntsville",NA,"Huntsville","Ala.","huntsville gazette","Huntsville Gazette","Y","Huntsville Gazette (Huntsville, Ala.) 1879-1894"
"8",8,"The Cleveland gazette.","Cleveland, Ohio","March 16",1889,"The Cleveland gazette. [volume] (Cleveland, Ohio), March 16, 1889, Image 1","March 16, 1889","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"9",9,"The Cleveland gazette.","Cleveland, Ohio","August 31",1889,"The Cleveland gazette. [volume] (Cleveland, Ohio), August 31, 1889, Page 3, Image 3","August 31, 1889","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the cleveland gazette","The Cleveland Gazette","Y","The Cleveland Gazette (Cleveland, Ohio) 1883-1892"
"10",10,"The Washington bee.","Washington, D.C.","March 16",1889,"The Washington bee. [volume] (Washington, D.C.), March 16, 1889, Image 3","March 16, 1889","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"11",11,"The New York age.","New York [N.Y.]","June 29",1889,"The New York age. [volume] (New York [N.Y.]), June 29, 1889, Image 2","June 29, 1889","New York",NA,"New York NY",NA,"New York [N.Y.]",NA,"the new york age","The New York Age","Y","The New York Age (New York [N.Y.]) 1887-1953"
"12",12,"The Washington bee.","Washington, D.C.","March 09",1889,"The Washington bee. [volume] (Washington, D.C.), March 09, 1889, Image 2","March 09, 1889","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"13",13,"The Helena independent.","Helena, Mont.","October 20",1890,"The Helena independent. [volume] (Helena, Mont.), October 20, 1890, Morning, Page 2, Image 2","October 20, 1890","Montana","Mont","Helena",NA,"Helena","Mont.","the helena independent",NA,"N",NA
"14",14,"The Appeal.","Saint Paul, Minn. ;","July 12",1890,"The Appeal. [volume] (Saint Paul, Minn. ;), July 12, 1890, Image 1","July 12, 1890","Minnesota","Minn ","Saint Paul",NA,"Saint Paul","Minn. ;","the appeal","The Appeal","Y","The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??"
