Newspapers,LCCN,OCLC,ISSN,State,County,City,Geo Location,Browse Digitized Issues,Number of Issues,First Issue,Last Issue,Essay Available,Languages,Ethnicity
"The Advance (Wilmington, Del.) 1899-19??",sn86058063,13353313,2637-8205,Delaware,New Castle,Wilmington,"39.7444318, -75.5451003",https://www.loc.gov/item/sn86058063/?st=calendar,1,9/22/00,9/22/00,TRUE,English,African American
"The Advocate (Charleston, W. Va.) 1901-1913",sn85059812,12920534,2574-6464,West Virginia,Kanawha,Charleston,"38.351194, -81.638362",https://www.loc.gov/item/sn85059812/?st=calendar,287,2/7/07,11/14/12,TRUE,English,African American
"The Advocate (Leavenworth, Kan.) 1888-1889",sn85029303,12101931,,Kansas,Leavenworth,Leavenworth,"39.32746, -94.918953",https://www.loc.gov/item/sn85029303/?st=calendar,31,1888-08-18,1889-09-14,,English,African American
"African Expositor (Raleigh, N.C.) 18??-18??",sn97064613,38892755,2766-5992,North Carolina,Wake,Raleigh,"35.7813033, -78.6416795",https://www.loc.gov/item/sn97064613/?st=calendar,1,1886-10-01,1886-10-01,,English,African American
"Africo-American Presbyterian (Wilmington, N.C.) 1879-1938",sn84025826,10354392,2835-8740,North Carolina,"Mecklenburg, New Hanover","Charlotte, Wilmington","34.2367, -77.946197",https://www.loc.gov/item/sn84025826/?st=calendar,1,1899-12-21,1899-12-21,TRUE,English,African American
"The Afro-American (Baltimore, Md.) 1892-1899",sn83009626,9235910,2473-5922,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83009626/?st=calendar,23,1893-04-29,1898-03-26,TRUE,English,African American
"The Afro-American Advance (Minneapolis, Minn. ; St. Paul, Minn.) 1899-19??",sn86058061,13353098,2996-3141,Minnesota,"Hennepin, Ramsey","Minneapolis, Saint Paul","44.943719, -93.094281",https://www.loc.gov/item/sn86058061/?st=calendar,71,1899-05-27,11/17/00,TRUE,English,African American
"Afro-American Advocate (Coffeyville, Kan.) 1891-1893",sn85031378,12257763,2997-6510,Kansas,Montgomery,Coffeyville,"37.032981, -95.615716",https://www.loc.gov/item/sn85031378/?st=calendar,74,1891-09-02,1893-09-01,TRUE,English,African American
"The Afro-American Citizen (Charleston, S.C.) 1899-1902",sn83025782,9797992,2166-1669,South Carolina,Charleston,Charleston,"32.77647, -79.931027",https://www.loc.gov/item/sn83025782/?st=calendar,1,1/17/00,1/17/00,TRUE,English,African American
"Afro-American Courier (Yazoo City, Miss.) 1926-19??",sn88067171,18201922,2694-6068,Mississippi,Yazoo,Yazoo City,"32.8472499, -90.4136515",https://www.loc.gov/item/sn88067171/?st=calendar,54,8/1/26,5/1/57,TRUE,English,African American
"Afro-Independent (St. Paul, Minn. ; Minneapolis, Minn.) 1888-1???",sn86058058,13351837,2996-3222,Minnesota,"Ramsey, Hennepin","Saint Paul, Minneapolis","44.9774859, -93.2643669",https://www.loc.gov/item/sn86058058/?st=calendar,1,1888-09-22,1888-09-22,TRUE,English,African American
"The Aliened American (Cleveland, Ohio) 1853-18??",sn83035397,9777824,2836-0982,Ohio,Cuyahoga,Cleveland,"41.5051414, -81.6914575",https://www.loc.gov/item/sn83035397/?st=calendar,1,1853-04-09,1853-04-09,TRUE,English,African American
"American Baptist (Louisville, Ky.) 1879-19??",sn93062854,27507899,1943-8885,Kentucky,Jefferson,Louisville,"38.256078, -85.751569",https://www.loc.gov/item/sn93062854/?st=calendar,37,4/10/03,12/23/04,TRUE,English,African American
The American Citizen (Baltimore [Md.]) 1879-1???,sn83027092,9948094,2832-7365,Maryland,,Baltimore,"39.290443, -76.612333",https://www.loc.gov/item/sn83027092/?st=calendar,1,1879-04-19,1879-04-19,TRUE,English,African American
"The American Citizen (Topeka, Kan.) 1888-1909",sn85032031,12759891,2994-838x,Kansas,"Shawnee, Wyandotte","Topeka, Kansas City","39.1127, -94.626804",https://www.loc.gov/item/sn85032031/?st=calendar,836,1888-02-23,8/2/07,TRUE,English,African American
"The American Eagle (St. Louis, Mo.) 1894-19??",sn84020143,10408010,2835-6373,Missouri,Saint Louis,Saint Louis,"38.635355, -90.2009855",https://www.loc.gov/item/sn84020143/?st=calendar,1,12/17/05,12/17/05,TRUE,English,African American
"The American Guide (Little Rock, Ark.) 1889-1???",sn83025496,9529432,2833-1931,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn83025496/?st=calendar,27,1896-03-28,1/27/00,TRUE,English,African American
"The American Negro (Springfield, Mo.) 1890-1890",sn83025434,9467380,2835-625x,Missouri,Greene,Springfield,"37.215521, -93.292361",https://www.loc.gov/item/sn83025434/?st=calendar,1,1890-10-25,1890-10-25,TRUE,English,African American
"The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??",sn83016810,10157486,2163-7075,Minnesota,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016810/?st=calendar,1558,1889-02-23,11/24/23,TRUE,English,African American
"The Appeal (Saint Paul, Minn. ; Minneapolis, Minn. ; Chicago, Ill.) 1889-19??",sn83016810,10157486,2163-7075,Illinois,"Ramsey, Hennepin, Cook","Saint Paul, Minneapolis, Chicago","41.883229, -87.632398",https://www.loc.gov/item/sn83016810/?st=calendar,1558,1889-02-23,11/24/23,TRUE,English,African American
"The Arizona Gleam (Phoenix, Ariz.) 1929-193?",sn95060626,33668826,2692-6881,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn95060626/?st=calendar,166,12/15/29,11/26/37,TRUE,English,African American
"Arizona Sun (Phoenix, Ariz.) 1942-196?",sn84021917,2701819,2692-692x,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn84021917/?st=calendar,793,7/7/44,12/27/63,TRUE,English,African American
"Arizona Tribune (Phoenix, Ariz.) 1958-197?",sn84021918,2712104,2692-6946,Arizona,Maricopa,Phoenix,"33.448204, -112.0725848",https://www.loc.gov/item/sn84021918/?st=calendar,275,7/25/58,12/27/63,TRUE,English,African American
"The Arkansas Freeman (Little Rock, Ark.) 1869-18??",sn83025492,9527477,2833-1915,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn83025492/?st=calendar,2,1869-09-28,1869-10-05,TRUE,English,African American
"Arkansas State Press (Little Rock, Ark.) 1941-1959",sn84025840,10434302,2994-3809,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn84025840/?st=calendar,893,5/9/41,10/30/59,TRUE,English,African American
"Arkansas Survey (Little Rock, Ark.) 1923-1935",sn92050012,25133882,2995-4592,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050012/?st=calendar,1,9/20/24,9/20/24,TRUE,English,African American
"Arkansas Survey-Journal (Little Rock, Ark.) 1935-195?",sn92050011,25133891,2995-4576,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050011/?st=calendar,1,9/28/40,9/28/40,TRUE,English,African American
"Arkansas Weekly Mansion (Little Rock, Ark.) 1880-1886",sn84020670,4065923,2995-4614,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn84020670/?st=calendar,42,1883-06-23,1885-11-21,TRUE,English,African American
"The Arkansas World (Little Rock, Ark.) 1940-1957",sn92050010,25133894,2995-4630,Arkansas,Pulaski,Little Rock,"34.748745, -92.275105",https://www.loc.gov/item/sn92050010/?st=calendar,1,9/21/40,9/21/40,TRUE,English,African American
"The Atchison Blade (Atchison, Kan.) 1892-1898",sn83040110,9473982,2997-6723,Kansas,Atchison,Atchison,"39.560903, -95.127377",https://www.loc.gov/item/sn83040110/?st=calendar,69,1892-07-23,1894-01-20,TRUE,English,African American
"The Athens Republique (Athens, Ga.) 1919-????",2012233098,"812195741, n812195741",2768-654x,Georgia,Athens-Clarke,Athens,"33.957412, -83.376798",https://www.loc.gov/item/2012233098/?st=calendar,19,1/15/21,3/27/26,TRUE,English,African American
"Atlanta Age (Atlanta, Ga.) 1898-19??",sn82014241,8790269,2833-535x,Georgia,Fulton,Atlanta,"33.748547, -84.391502",https://www.loc.gov/item/sn82014241/?st=calendar,1,1/13/00,1/13/00,TRUE,English,African American
