"","...1","index","file_id","newspaper_name","date","year","month","day","url","article_id","sn","newspaper_city","newspaper_state","black_press","edition","mod_id","article_title","collection","authors","document_type","issn","find_a_copy","filepath","file_id_old","file_id2_old","url_backup","page"
"1",217,220,"8500_0","The Omaha guide",1944-03-18,1944,3,18,"https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828//1944/03/18/ed-1/seq-4/0?user_id=6",0,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8500,"8500_0","https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828/3/18/ed-1/seq-4/1","4"
"2",218,221,"8500_1","The Omaha guide",1944-03-18,1944,3,18,"https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828//1944/03/18/ed-1/seq-4/0?user_id=6",1,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8500,"8500_1","https://articleextractor.org/pages/8500/nbu_fourtusker_ver01/sn93062828/3/18/ed-1/seq-4/1","4"
"3",275,279,"8575_0","The Omaha guide",1935-01-26,1935,1,26,"https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828//1935/01/26/ed-1/seq-3/0?user_id=6",0,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8575,"8575_0","https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828/1/26/ed-1/seq-3/1","3"
"4",276,280,"8575_1","The Omaha guide",1935-01-26,1935,1,26,"https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828//1935/01/26/ed-1/seq-3/0?user_id=6",1,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8575,"8575_1","https://articleextractor.org/pages/8575/nbu_fourtusker_ver01/sn93062828/1/26/ed-1/seq-3/1","3"
"5",298,302,"8617_0","The Omaha guide",1941-05-31,1941,5,31,"https://articleextractor.org/pages/8617/nbu_fourtusker_ver01/sn93062828//1941/05/31/ed-1/seq-1/0?user_id=6",0,"sn93062828","Omaha","Nebraska","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8617,"8617_0","https://articleextractor.org/pages/8617/nbu_fourtusker_ver01/sn93062828/5/31/ed-1/seq-1/1","1"
"6",329,333,"8653_0","The statesman",1906-04-20,1906,4,20,"https://articleextractor.org/pages/8653/cohi_abbeyville_ver01/sn83025516//1906/04/20/ed-1/seq-8/0?user_id=6",0,"sn83025516","Denver","Colorado","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8653,"8653_0","https://articleextractor.org/pages/8653/cohi_abbeyville_ver01/sn83025516/4/20/ed-1/seq-8/1","8"
"7",337,341,"8669_0","The Washington bee",1892-07-09,1892,7,9,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891//1892/07/09/ed-1/seq-2/0?user_id=6",0,"sn84025891","Washington","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8669,"8669_0","https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","2"
"8",338,342,"8669_1","The Washington bee",1892-07-09,1892,7,9,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891//1892/07/09/ed-1/seq-2/0?user_id=6",1,"sn84025891","Washington","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8669,"8669_1","https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","2"
"9",339,344,"8669_3","The Washington bee",1892-07-09,1892,7,9,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891//1892/07/09/ed-1/seq-2/0?user_id=6",3,"sn84025891","Washington","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8669,"8669_3","https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","2"
"10",340,345,"8669_4","The Washington bee",1892-07-09,1892,7,9,"https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891//1892/07/09/ed-1/seq-2/0?user_id=6",4,"sn84025891","Washington","District of Columbia","Y","ed-1",1,NA,"LOC",NA,NA,NA,NA,NA,8669,"8669_4","https://articleextractor.org/pages/8669/dlc_harry_ver01/sn84025891/7/9/ed-1/seq-2/1","2"
