"newspaper","location","date","full_text"
"The Helena independent.","Helena, Mont.","October 20, 1890","The Helena independent. [volume] (Helena, Mont.), October 20, 1890, Morning, Page 2, Image 2"
"The Appeal.","Saint Paul, Minn. ;","July 12, 1890","The Appeal. [volume] (Saint Paul, Minn. ;), July 12, 1890, Image 1"
"The Cleveland gazette.","Cleveland, Ohio","May 03, 1890","The Cleveland gazette. [volume] (Cleveland, Ohio), May 03, 1890, Page 2, Image 2"
"The Washington bee.","Washington, D.C.","October 04, 1890","The Washington bee. [volume] (Washington, D.C.), October 04, 1890, Image 2"
"The New York age.","New York [N.Y.]","August 08, 1891","The New York age. [volume] (New York [N.Y.]), August 08, 1891, Image 2"
"The Washington bee.","Washington, D.C.","September 05, 1891","The Washington bee. [volume] (Washington, D.C.), September 05, 1891, Image 3"
"The Cleveland gazette.","Cleveland, Ohio","March 21, 1891","The Cleveland gazette. [volume] (Cleveland, Ohio), March 21, 1891, Image 1"
"The New York age.","New York [N.Y.]","October 24, 1891","The New York age. [volume] (New York [N.Y.]), October 24, 1891, Page 4, Image 4"
"The Washington bee.","Washington, D.C.","March 07, 1891","The Washington bee. [volume] (Washington, D.C.), March 07, 1891, Image 3"
"The Washington bee.","Washington, D.C.","March 14, 1891","The Washington bee. [volume] (Washington, D.C.), March 14, 1891, Image 3"
"The progress.","Omaha, Neb.","March 07, 1891","The progress. [volume] (Omaha, Neb.), March 07, 1891, Image 1"
"The New York age.","New York [N.Y.]","March 28, 1891","The New York age. [volume] (New York [N.Y.]), March 28, 1891, Image 2"
"The New York age.","New York [N.Y.]","September 12, 1891","The New York age. [volume] (New York [N.Y.]), September 12, 1891, Image 2"
"The New York age.","New York [N.Y.]","July 25, 1891","The New York age. [volume] (New York [N.Y.]), July 25, 1891, Image 1"
"The Cleveland gazette.","Cleveland, Ohio","October 17, 1891","The Cleveland gazette. [volume] (Cleveland, Ohio), October 17, 1891, Page 2, Image 2"
"The New York age.","New York [N.Y.]","February 28, 1891","The New York age. [volume] (New York [N.Y.]), February 28, 1891, Page 3, Image 3"
"Evening star.","Washington, D.C.","January 01, 1891","Evening star. [volume] (Washington, D.C.), January 01, 1891, Page 8, Image 8"
"The Cleveland gazette.","Cleveland, Ohio","August 01, 1891","The Cleveland gazette. [volume] (Cleveland, Ohio), August 01, 1891, Page 2, Image 2"
