"newspaper","location","date","full_text"
"The gazette.","Cleveland, Ohio","December 01, 1900","The gazette. [volume] (Cleveland, Ohio), December 01, 1900, Image 1"
"The colored American.","Washington, D.C.","February 24, 1900","The colored American. [volume] (Washington, D.C.), February 24, 1900, Page 10, Image 10"
"The Appeal.","Saint Paul, Minn. ;","August 25, 1900","The Appeal. [volume] (Saint Paul, Minn. ;), August 25, 1900, Image 1"
"The Appeal.","Saint Paul, Minn. ;","July 07, 1900","The Appeal. [volume] (Saint Paul, Minn. ;), July 07, 1900, Image 1"
"The colored American.","Washington, D.C.","June 16, 1900","The colored American. [volume] (Washington, D.C.), June 16, 1900, Page 4, Image 4"
"The Indianapolis journal.","Indianapolis [Ind.]","August 31, 1900","The Indianapolis journal. [volume] (Indianapolis [Ind.]), August 31, 1900, Page 8, Image 8"
"The San Francisco call.","San Francisco [Calif.]","November 19, 1900","The San Francisco call. [volume] (San Francisco [Calif.]), November 19, 1900, Image 2"
"The Appeal.","Saint Paul, Minn. ;","February 03, 1900","The Appeal. [volume] (Saint Paul, Minn. ;), February 03, 1900, Image 1"
"The broad ax.","Salt Lake City, Utah","March 03, 1900","The broad ax. [volume] (Salt Lake City, Utah), March 03, 1900, Image 1"
"The age-herald.","Birmingham, Ala.","November 19, 1900","The age-herald. [volume] (Birmingham, Ala.), November 19, 1900, Image 1"
"The daily morning journal and courier.","New Haven, Conn.","March 03, 1900","The daily morning journal and courier. [volume] (New Haven, Conn.), March 03, 1900, Part 2, Image 9"
"The freeman.","Indianapolis [Ind.]","September 01, 1900","The freeman. [volume] (Indianapolis [Ind.]), September 01, 1900, Page 4, Image 4"
"The Appeal.","Saint Paul, Minn. ;","August 18, 1900","The Appeal. [volume] (Saint Paul, Minn. ;), August 18, 1900, Image 1"
"The daily morning journal and courier.","New Haven, Conn.","March 12, 1900","The daily morning journal and courier. [volume] (New Haven, Conn.), March 12, 1900, Part 2, Image 9"
"The daily morning journal and courier.","New Haven, Conn.","March 05, 1900","The daily morning journal and courier. [volume] (New Haven, Conn.), March 05, 1900, Part 2, Image 9"
"The Appeal.","Saint Paul, Minn. ;","January 06, 1900","The Appeal. [volume] (Saint Paul, Minn. ;), January 06, 1900, Image 1"
"The recorder.","Indianapolis, Ind.","March 10, 1900","The recorder. [volume] (Indianapolis, Ind.), March 10, 1900, Image 2"
"The daily morning journal and courier.","New Haven, Conn.","February 22, 1900","The daily morning journal and courier. [volume] (New Haven, Conn.), February 22, 1900, Page 5, Image 5"
"The freeman.","Indianapolis [Ind.]","February 17, 1900","The freeman. [volume] (Indianapolis [Ind.]), February 17, 1900, Page 7, Image 7"
"The freeman.","Indianapolis [Ind.]","June 23, 1900","The freeman. [volume] (Indianapolis [Ind.]), June 23, 1900, Page 4, Image 4"
"Iowa state bystander.","Des Moines, Iowa","March 30, 1900","Iowa state bystander. [volume] (Des Moines, Iowa), March 30, 1900, Image 5"
"The freeman.","Indianapolis [Ind.]","March 17, 1900","The freeman. [volume] (Indianapolis [Ind.]), March 17, 1900, Page 6, Image 6"
"The freeman.","Indianapolis [Ind.]","April 21, 1900","The freeman. [volume] (Indianapolis [Ind.]), April 21, 1900, Page 4, Image 4"
"The Savannah morning news.","Savannah, Ga.","November 19, 1900","The Savannah morning news. (Savannah, Ga.), November 19, 1900, Page 5, Image 5"
"The daily morning journal and courier.","New Haven, Conn.","March 10, 1900","The daily morning journal and courier. [volume] (New Haven, Conn.), March 10, 1900, Part 2, Image 9"
"The Salt Lake herald.","Salt Lake City [Utah]","November 19, 1900","The Salt Lake herald. [volume] (Salt Lake City [Utah]), November 19, 1900, Image 1"
"The Salt Lake herald.","Salt Lake City [Utah]","July 01, 1900","The Salt Lake herald. [volume] (Salt Lake City [Utah]), July 01, 1900, Editorial Section, Page 13, Image 13"
"The colored American.","Washington, D.C.","February 10, 1900","The colored American. [volume] (Washington, D.C.), February 10, 1900, Page 2, Image 2"
"The colored American.","Washington, D.C.","May 19, 1900","The colored American. [volume] (Washington, D.C.), May 19, 1900, Page 6, Image 6"
"Richmond planet.","Richmond, Va.","January 13, 1900","Richmond planet. [volume] (Richmond, Va.), January 13, 1900, Page 8, Image 8"
"The freeman.","Indianapolis [Ind.]","January 26, 1901","The freeman. [volume] (Indianapolis [Ind.]), January 26, 1901, Image 6"
"The colored American.","Washington, D.C.","February 16, 1901","The colored American. [volume] (Washington, D.C.), February 16, 1901, Page 11, Image 11"
"The freeman.","Indianapolis [Ind.]","February 23, 1901","The freeman. [volume] (Indianapolis [Ind.]), February 23, 1901, Image 6"
"The freeman.","Indianapolis [Ind.]","March 02, 1901","The freeman. [volume] (Indianapolis [Ind.]), March 02, 1901, Image 2"
"The semi-weekly messenger.","Wilmington, N.C.","November 01, 1901","The semi-weekly messenger. [volume] (Wilmington, N.C.), November 01, 1901, Page 2, Image 2"
"The freeman.","Indianapolis [Ind.]","February 02, 1901","The freeman. [volume] (Indianapolis [Ind.]), February 02, 1901, Image 7"
"San Antonio daily light.","San Antonio, Tex.","February 28, 1901","San Antonio daily light. [volume] (San Antonio, Tex.), February 28, 1901, Image 1"
"The Washington bee.","Washington, D.C.","August 24, 1901","The Washington bee. [volume] (Washington, D.C.), August 24, 1901, Image 1"
"New-York tribune.","New York [N.Y.]","July 09, 1901","New-York tribune. [volume] (New York [N.Y.]), July 09, 1901, Page 9, Image 9"
