,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state
4036,8062,0,sn84020358,"The daily morning journal and courier (New Haven, Conn...)",1898,1,29,seq-4,ed-1,1,https://articleextractor.org/pages/8062/ct_ash_ver01/sn84020358/1/29/ed-1/seq-4/1,Connecticut
10729,8065,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1889,3,22,seq-7,ed-1,1,https://articleextractor.org/pages/8065/khi_dole_ver01/sn83040340/3/22/ed-1/seq-7/1,Kansas
11821,8083,1,sn83016527,True American (New Orleans [La...),1838,8,25,seq-2,ed-1,1,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527/8/25/ed-1/seq-2/1,Louisiana
1643,8089,0,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1912,5,7,seq-8,ed-1,1,https://articleextractor.org/pages/8089/au_huie_ver01/sn85038485/5/7/ed-1/seq-8/1,Alabama
5815,8097,0,sn85042354,"Evening journal (Wilmington, Del...)",1890,4,24,seq-4,ed-1,1,https://articleextractor.org/pages/8097/deu_arden_ver01/sn85042354/4/24/ed-1/seq-4/1,Delaware
12695,8100,0,sn83016589,"The Mankato free press (Mankato, Blue E...)",1889,5,31,seq-1,ed-1,1,https://articleextractor.org/pages/8100/mnhi_fencing_ver02/sn83016589/5/31/ed-1/seq-1/1,Minnesota
11832,8116,0,sn89060136,,1899,4,28,seq-2,ed-1,1,https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1,Maryland
5844,8127,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1,Delaware
11894,8129,0,sn89060092,,1896,2,7,seq-6,ed-1,1,https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/2/7/ed-1/seq-6/1,Maryland
21494,8137,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/3/7/ed-1/seq-6/1,Wisconsin
12256,8142,0,sn96077142,,1896,3,7,seq-2,ed-1,1,https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142/3/7/ed-1/seq-2/1,Michigan
21672,8144,0,sn86092518,"Wheeling register (Wheeling, W. Va...)",1896,1,14,seq-1,ed-1,1,https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518/1/14/ed-1/seq-1/1,West Virginia
12555,8145,0,sn83016804,"St. Paul recorder (St. Paul, Minn.)",1938,11,4,seq-2,ed-1,1,https://articleextractor.org/pages/8145/mnhi_dodgeball_ver01/sn83016804/11/4/ed-1/seq-2/1,Minnesota
19638,8149,0,sn85058130,The Salt Lake herald (Salt Lake City ...),1908,1,3,seq-2,ed-1,1,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1/3/ed-1/seq-2/1,Utah
