"","newspaper","location","date1","year","full_text","date_original"
"1","The state journal.","Harrisburg, Pa.","May 31"," 1884","The state journal. [volume] (Harrisburg, Pa.), May 31, 1884, Image 1","May 31, 1884"
"2","The Cleveland gazette.","Cleveland, Ohio","November 21"," 1885","The Cleveland gazette. [volume] (Cleveland, Ohio), November 21, 1885, Image 1","November 21, 1885"
"3","The Manning times.","Manning, Clarendon County, S.C.","November 09"," 1887","The Manning times. [volume] (Manning, Clarendon County, S.C.), November 09, 1887, Image 1","November 09, 1887"
"4","The New York freeman.","New York [N.Y.]","August 20"," 1887","The New York freeman. [volume] (New York [N.Y.]), August 20, 1887, Image 4","August 20, 1887"
"5","The Washington bee.","Washington, D.C.","August 04"," 1888","The Washington bee. [volume] (Washington, D.C.), August 04, 1888, Image 2","August 04, 1888"
"6","The New York age.","New York [N.Y.]","August 11"," 1888","The New York age. [volume] (New York [N.Y.]), August 11, 1888, Image 1","August 11, 1888"
"7","Huntsville gazette.","Huntsville, Ala.","January 05"," 1889","Huntsville gazette. [volume] (Huntsville, Ala.), January 05, 1889, Image 2","January 05, 1889"
"8","The Cleveland gazette.","Cleveland, Ohio","March 16"," 1889","The Cleveland gazette. [volume] (Cleveland, Ohio), March 16, 1889, Image 1","March 16, 1889"
"9","The Cleveland gazette.","Cleveland, Ohio","August 31"," 1889","The Cleveland gazette. [volume] (Cleveland, Ohio), August 31, 1889, Page 3, Image 3","August 31, 1889"
"10","The Washington bee.","Washington, D.C.","March 16"," 1889","The Washington bee. [volume] (Washington, D.C.), March 16, 1889, Image 3","March 16, 1889"
"11","The New York age.","New York [N.Y.]","June 29"," 1889","The New York age. [volume] (New York [N.Y.]), June 29, 1889, Image 2","June 29, 1889"
"12","The Washington bee.","Washington, D.C.","March 09"," 1889","The Washington bee. [volume] (Washington, D.C.), March 09, 1889, Image 2","March 09, 1889"
"13","The Helena independent.","Helena, Mont.","October 20"," 1890","The Helena independent. [volume] (Helena, Mont.), October 20, 1890, Morning, Page 2, Image 2","October 20, 1890"
"14","The Appeal.","Saint Paul, Minn. ;","July 12"," 1890","The Appeal. [volume] (Saint Paul, Minn. ;), July 12, 1890, Image 1","July 12, 1890"
"15","The Cleveland gazette.","Cleveland, Ohio","May 03"," 1890","The Cleveland gazette. [volume] (Cleveland, Ohio), May 03, 1890, Page 2, Image 2","May 03, 1890"
"16","The Washington bee.","Washington, D.C.","October 04"," 1890","The Washington bee. [volume] (Washington, D.C.), October 04, 1890, Image 2","October 04, 1890"
"17","The New York age.","New York [N.Y.]","August 08"," 1891","The New York age. [volume] (New York [N.Y.]), August 08, 1891, Image 2","August 08, 1891"
"18","The Washington bee.","Washington, D.C.","September 05"," 1891","The Washington bee. [volume] (Washington, D.C.), September 05, 1891, Image 3","September 05, 1891"
"19","The Cleveland gazette.","Cleveland, Ohio","March 21"," 1891","The Cleveland gazette. [volume] (Cleveland, Ohio), March 21, 1891, Image 1","March 21, 1891"
"20","The New York age.","New York [N.Y.]","October 24"," 1891","The New York age. [volume] (New York [N.Y.]), October 24, 1891, Page 4, Image 4","October 24, 1891"
