"","file_id2","newspaper_name","newspaper_state","date","year","month","day","page","edition","mod_id","unnamed_0","file_id","article_id","sn","url","black_press","filename","X","index","article_title","newspaper_city","collection","abstract","store_id","authors","document_type","issn","pages","find_a_copy","start_page","filepath"
"1","8116_0",NA,"Maryland",1899-04-28,1899,4,28,"seq-2","ed-1",1,5136,8116,0,"sn89060136","https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136/1899/04/28/ed-1/seq-2/0?user_id=6",NA,"8116_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","8127_0","Evening journal (Wilmington, Del...)","Delaware",1912-06-25,1912,6,25,"seq-7","ed-1",1,1854,8127,0,"sn85042354","https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/0?user_id=6",NA,"8127_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","8129_0",NA,"Maryland",1896-02-07,1896,2,7,"seq-6","ed-1",1,5196,8129,0,"sn89060092","https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/0?user_id=6",NA,"8129_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","8137_0","Ladysmith news-budget (Ladysmith, Rusk...)","Wisconsin",1913-03-07,1913,3,7,"seq-6","ed-1",1,13317,8137,0,"sn85040245","https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/0?user_id=6",NA,"8137_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","8142_0",NA,"Michigan",1896-03-07,1896,3,7,"seq-2","ed-1",1,5525,8142,0,"sn96077142","https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142/1896/03/07/ed-1/seq-2/0?user_id=6",NA,"8142_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","8144_0","Wheeling register (Wheeling, W. Va...)","West Virginia",1896-01-14,1896,1,14,"seq-1","ed-1",1,13495,8144,0,"sn86092518","https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518/1896/01/14/ed-1/seq-1/0?user_id=6",NA,"8144_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","8149_0","The Salt Lake herald (Salt Lake City ...)","Utah",1908-01-03,1908,1,3,"seq-2","ed-1",1,11666,8149,0,"sn85058130","https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/0?user_id=6",NA,"8149_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","8153_0","The Waco evening news (Waco, Tex.)","Texas",1893-09-21,1893,9,21,"seq-3","ed-1",1,11167,8153,0,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6",NA,"8153_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","8153_1","The Waco evening news (Waco, Tex.)","Texas",1893-09-21,1893,9,21,"seq-3","ed-1",1,11169,8153,1,"sn86088201","https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6",NA,"8153_1.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","8155_0","The Hope pioneer (Hope, N.D.)","North Dakota",1893-08-04,1893,8,4,"seq-2","ed-1",1,8459,8155,0,"sn87096037","https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/0?user_id=6",NA,"8155_0.txt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
