Sasha_Mohamed,reviewed_by_te,newspaper_name,year,lynching,attempted_y_n,lynching_state,lynching_city,date,similar_coverage_y_n,month,day,page,edition,mod_id,newspaper_state,file_id2.x,num_annotations,file_id2.y,newspaper_city,state,url.y,article_id,sn,url_fixed,date2,url_final
NA,x,Gazette of the United-States,1789,No,NA,NA,NA,1789/09/23,NA,NA,NA,seq-3,NA,NA,NA,NA,0,14793_0,NEW YORK,NY,https://articleextractor.org/pages/14793/dlc_himalayan_ver02/sn83030483/1789/09/23/ed-1/seq-3/0?user_id=6,NA,sn83030483,NA,1789-09-23,https://articleextractor.org/pages/14793/dlc_himalayan_ver02/sn83030483/1789/09/23/NA/seq-3/0?user_id=6
NA,x,Gazette of the United-States,1792,No,NA,NA,NA,1792/07/11,NA,NA,NA,seq-3,NA,NA,NA,NA,0,15961_0,NEW YORK,NY,https://articleextractor.org/pages/15961/dlc_himalayan_ver02/sn83030483/1792/07/11/ed-1/seq-3/0?user_id=6,NA,sn83030483,NA,1792-07-11,https://articleextractor.org/pages/15961/dlc_himalayan_ver02/sn83030483/1792/07/11/NA/seq-3/0?user_id=6
NA,x,Gazette of the United States & evening advertiser,1794,No,NA,NA,NA,1794/05/30,NA,NA,NA,seq-3,NA,NA,NA,NA,0,15959_0,PHILADELPHIA,PA,https://articleextractor.org/pages/15959/dlc_iranese_ver01/sn83025878/1794/05/30/ed-1/seq-3/0?user_id=10,NA,sn83025878,NA,1794-05-30,https://articleextractor.org/pages/15959/dlc_iranese_ver01/sn83025878/1794/05/30/NA/seq-3/0?user_id=6
NA,x,The national intelligencer and Washington advertiser (Washington City...),1805,Yes,NA,NA,NA,1805/01/14,"Yes, 5",1,14,seq-3,ed-1,2,District of Columbia,87398_0,1,15955_1,WASHINGTON CITY,DC,https://articleextractor.org/pages/15955/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/0?user_id=10,0,sn83045242,https://articleextractor.org/pages/87398/dlc_domestic_ver01/sn83045242,1805-01-14,https://articleextractor.org/pages/87398/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/0?user_id=6
NA,x,"Virginia Argus (Richmond, Va.)",1805,Yes,NA,NA,NA,1805/01/19,"Yes, 5",1,19,seq-3,ed-1,2,Virginia,87399_0,1,15958_1,RICHMOND,VA,https://articleextractor.org/pages/15958/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/0?user_id=10,0,sn84024710,https://articleextractor.org/pages/87399/vi_otters_ver02/sn84024710,1805-01-19,https://articleextractor.org/pages/87399/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/0?user_id=6
NA,x,"Berkeley and Jefferson intelligencer (Martinsburg, Va...)",1805,Yes,NA,NA,NA,1805/02/01,"Yes, 5",2,1,seq-2,ed-1,3,Virginia,87400_0,2,15954_2,MARTINSBURG,VA,https://articleextractor.org/pages/15954/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/0?user_id=10,0,sn85059525,https://articleextractor.org/pages/87400/wvu_hogan_ver01/sn85059525,1805-02-01,https://articleextractor.org/pages/87400/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/0?user_id=6
NA,x,"The enquirer (Richmond, Va.)",1807,No,NA,NA,NA,1807/07/21,NA,7,21,seq-2,ed-1,1,Virginia,90887_0,0,15953_0,RICHMOND,VA,https://articleextractor.org/pages/15953/vi_loons_ver01/sn84024736/1807/07/21/ed-1/seq-2/0?user_id=10,0,sn84024736,https://articleextractor.org/pages/90887/vi_loons_ver01/sn84024736,1807-07-21,https://articleextractor.org/pages/90887/vi_loons_ver01/sn84024736/1807/07/21/ed-1/seq-2/0?user_id=6
NA,x,The enquirer,1812,No,NA,NA,NA,1812/09/08,NA,NA,NA,seq-1,NA,NA,NA,NA,0,15951_0,RICHMOND,VA,https://articleextractor.org/pages/15951/vi_loons_ver01/sn84024736/1812/09/08/ed-1/seq-1/0?user_id=10,NA,sn84024736,NA,1812-09-08,https://articleextractor.org/pages/15951/vi_loons_ver01/sn84024736/1812/09/08/NA/seq-1/0?user_id=6
NA,x,The Portland gazette,1820,No,NA,NA,NA,1820/12/26,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15949_0,PORTLAND,ME,https://articleextractor.org/pages/15949/me_calais_ver02/sn83016083/1820/12/26/ed-1/seq-4/0?user_id=10,NA,sn83016083,NA,1820-12-26,https://articleextractor.org/pages/15949/me_calais_ver02/sn83016083/1820/12/26/NA/seq-4/0?user_id=6
NA,x,The Virginian,1823,No,NA,NA,NA,1823/07/22,NA,NA,NA,seq-4,NA,NA,NA,NA,0,15952_0,LYNCHBURG,VA,https://articleextractor.org/pages/15952/vi_dartmoor_ver03/sn85027015/1823/07/22/ed-1/seq-4/0?user_id=10,NA,sn85027015,NA,1823-07-22,https://articleextractor.org/pages/15952/vi_dartmoor_ver03/sn85027015/1823/07/22/NA/seq-4/0?user_id=6
