"","word1","word2","n","decade"
"1",NA,NA,394,"pre1900"
"2","christian","educator",15,"pre1900"
"3","richmond","va",12,"pre1900"
"4","colored","people",10,"pre1900"
"5","white","women",8,"pre1900"
"6","broad","st",7,"pre1900"
"7","grand","jury",7,"pre1900"
"8","human","nature",7,"pre1900"
"9","colored","race",6,"pre1900"
"10","lynch","law",5,"pre1900"
"11","ox","marrow",5,"pre1900"
"12","st","richmond",5,"pre1900"
"13","va","sept",5,"pre1900"
"14","50","cents",4,"pre1900"
"15","atlanta","ga",4,"pre1900"
"16","day","evening",4,"pre1900"
"17","legally","qualified",4,"pre1900"
"18","nights","ago",4,"pre1900"
"19","oct","25",4,"pre1900"
"20","ozonized","ox",4,"pre1900"
"21","public","opinion",4,"pre1900"
"22","qualified","voters",4,"pre1900"
"23","van","wyck",4,"pre1900"
"24","white","people",4,"pre1900"
"25","25","cents",3,"pre1900"
"26","8","o'clock",3,"pre1900"
"27","baptist","church",3,"pre1900"
"28","byrdstreet","station",3,"pre1900"
"29","civilized","world",3,"pre1900"
"30","colored","citizens",3,"pre1900"
"31","fair","trial",3,"pre1900"
"32","free","address",3,"pre1900"
"33","governor","chamberlain",3,"pre1900"
"34","human","life",3,"pre1900"
"35","largest","circulation",3,"pre1900"
"36","mob","law",3,"pre1900"
"37","national","policy",3,"pre1900"
"38","negro","supremacy",3,"pre1900"
"39","negro's","accusers",3,"pre1900"
"40","oct","27",3,"pre1900"
"41","peoria","ill",3,"pre1900"
"42","prefer","dissolution",3,"pre1900"
"43","sept","16",3,"pre1900"
"44","sept","20",3,"pre1900"
"45","sept","21",3,"pre1900"
"46","south","carolina",3,"pre1900"
"47","southern","people",3,"pre1900"
"48","special","notice",3,"pre1900"
"49","st","louis",3,"pre1900"
"50","ten","days",3,"pre1900"
"51","trade","marks",3,"pre1900"
"52","white","girl",3,"pre1900"
"53","white","population",3,"pre1900"
"54","18th","street",2,"pre1900"
"55","361","broadway",2,"pre1900"
"56","3rd","thursday",2,"pre1900"
"57","4th","monday",2,"pre1900"
"58","4th","tuesday",2,"pre1900"
"59","absolutely","safe",2,"pre1900"
"60","afro","american",2,"pre1900"
"61","alex","crawford",2,"pre1900"
"62","alleged","offense",2,"pre1900"
"63","american","citizen",2,"pre1900"
"64","american","republic",2,"pre1900"
"65","arrives","elba",2,"pre1900"
"66","ascertain","free",2,"pre1900"
"67","atrocious","crime",2,"pre1900"
"68","beautifully","illustrated",2,"pre1900"
"69","bishop","haygood",2,"pre1900"
"70","brought","forward",2,"pre1900"
"71","call","richmond",2,"pre1900"
"72","christian","nation",2,"pre1900"
"73","cigars","tobacco",2,"pre1900"
"74","cleveland","steam",2,"pre1900"
"75","colored","man's",2,"pre1900"
"76","colored","rapist",2,"pre1900"
"77","common","sense",2,"pre1900"
"78","communications","strictly",2,"pre1900"
"79","cordially","invited",2,"pre1900"
"80","county","miss",2,"pre1900"
"81","court","yesterday",2,"pre1900"
"82","dawson","city",2,"pre1900"
"83","day","night",2,"pre1900"
"84","days","ago",2,"pre1900"
"85","death","sentence",2,"pre1900"
"86","defective","page",2,"pre1900"
"87","detroit","cleveland",2,"pre1900"
"88","dismal","swamp",2,"pre1900"
"89","dyeing","cleaning",2,"pre1900"
"90","elective","franchise",2,"pre1900"
"91","episcopal","church",2,"pre1900"
"92","excepted11","30",2,"pre1900"
"93","false","returns",2,"pre1900"
"94","farmer","living",2,"pre1900"
"95","farmville","jail",2,"pre1900"
"96","federal","court",2,"pre1900"
"97","fine","groceries",2,"pre1900"
"98","fine","wines",2,"pre1900"
"99","fong","hop",2,"pre1900"
"100","frances","willard",2,"pre1900"
"101","franklin","st",2,"pre1900"
"102","free","exercise",2,"pre1900"
"103","friday","night",2,"pre1900"
"104","friday","nights",2,"pre1900"
"105","gabriel","magloire",2,"pre1900"
"106","head","lines",2,"pre1900"
"107","henry","faedler",2,"pre1900"
"108","hundred","millions",2,"pre1900"
"109","illustrated","largest",2,"pre1900"
"110","individual","culprit",2,"pre1900"
"111","irish","question",2,"pre1900"
"112","journal","weekly",2,"pre1900"
"113","jubilee","singers",2,"pre1900"
"114","judge","cooper",2,"pre1900"
"115","june","16",2,"pre1900"
"116","laundresses","housemaids",2,"pre1900"
"117","leaves","elba",2,"pre1900"
"118","lee","song",2,"pre1900"
"119","legal","privileges",2,"pre1900"
"120","lexington","jail",2,"pre1900"
"121","liquors","cigars",2,"pre1900"
"122","luke","1st",2,"pre1900"
"123","main","st",2,"pre1900"
"124","mary","barnes",2,"pre1900"
"125","memphis","sept",2,"pre1900"
"126","mob","violence",2,"pre1900"
"127","monday","night",2,"pre1900"
"128","months","specimen",2,"pre1900"
"129","murderer","lynched",2,"pre1900"
"130","mystic","shrine",2,"pre1900"
"131","national","officers",2,"pre1900"
"132","national","officials",2,"pre1900"
"133","negro","lynched",2,"pre1900"
"134","oct","26",2,"pre1900"
"135","patent","office",2,"pre1900"
"136","patentable","communications",2,"pre1900"
"137","peculiar","institution",2,"pre1900"
"138","police","officers",2,"pre1900"
"139","political","life",2,"pre1900"
"140","progressive","people",2,"pre1900"
"141","public","demand",2,"pre1900"
"142","quickly","ascertain",2,"pre1900"
"143","respectfully","solicited",2,"pre1900"
"144","returned","home",2,"pre1900"
"145","rosa","cannon",2,"pre1900"
"146","saxon","race",2,"pre1900"
"147","school","teacher",2,"pre1900"
"148","scientific","american",2,"pre1900"
"149","securing","patents",2,"pre1900"
"150","sept","5",2,"pre1900"
"151","sewing","machine",2,"pre1900"
"152","single","copy",2,"pre1900"
"153","sioux","city",2,"pre1900"
"154","slave","labor",2,"pre1900"
"155","specimen","copies",2,"pre1900"
"156","steel","mill",2,"pre1900"
"157","stock","sold",2,"pre1900"
"158","ten","miles",2,"pre1900"
"159","terms","3.00",2,"pre1900"
"160","thousand","millions",2,"pre1900"
"161","thursday","nights",2,"pre1900"
"162","town","topics",2,"pre1900"
"163","tuesday","night",2,"pre1900"
"164","utterly","deny",2,"pre1900"
"165","washington","office",2,"pre1900"
"166","washington","paper",2,"pre1900"
"167","wednesday","evening",2,"pre1900"
"168","weekly","terms",2,"pre1900"
"169","west","virginia",2,"pre1900"
"170","white","woman",2,"pre1900"
"171","winona","miss",2,"pre1900"
"172","witness","stand",2,"pre1900"
"173","york","sept",2,"pre1900"
"174","0","86",1,"pre1900"
"175","0","st",1,"pre1900"
"176","1","0",1,"pre1900"
"177","1","1889",1,"pre1900"
"178","1","1897",1,"pre1900"
"179","1","20",1,"pre1900"
"180","1","25",1,"pre1900"
"181","1","30",1,"pre1900"
"182","1","50",1,"pre1900"
"183","1","governor",1,"pre1900"
"184","1","thoso",1,"pre1900"
"185","1.00","66",1,"pre1900"
"186","1.10","sought",1,"pre1900"
"187","10","30",1,"pre1900"
"188","10","cents",1,"pre1900"
"189","10,000","bonds",1,"pre1900"
"190","10,000","van",1,"pre1900"
"191","1000","graham",1,"pre1900"
"192","1000","unreported",1,"pre1900"
"193","11","1893",1,"pre1900"
"194","11","21.8m",1,"pre1900"
"195","11,947","widows",1,"pre1900"
"196","111","113",1,"pre1900"
"197","113","william",1,"pre1900"
"198","12","00",1,"pre1900"
"199","12","25",1,"pre1900"
"200","1224","north",1,"pre1900"
"201","13","weeks",1,"pre1900"
"202","135","queen",1,"pre1900"
"203","140","tons",1,"pre1900"
"204","1415","west",1,"pre1900"
"205","15","1956",1,"pre1900"
"206","15","thompson",1,"pre1900"
"207","15","washington",1,"pre1900"
"208","16","1892",1,"pre1900"
"209","16","specialpantomize",1,"pre1900"
"210","17","1892",1,"pre1900"
"211","17","lou",1,"pre1900"
"212","17","mott",1,"pre1900"
"213","1865","landam",1,"pre1900"
"214","1875","mecca",1,"pre1900"
"215","1887","88",1,"pre1900"
"216","1889","eleven",1,"pre1900"
"217","1895","urg",1,"pre1900"
"218","18th","learning",1,"pre1900"
"219","1solomon","marable",1,"pre1900"
"220","1st","monday",1,"pre1900"
"221","1st","mt",1,"pre1900"
"222","1st","wednes",1,"pre1900"
"223","2","45",1,"pre1900"
"224","2","ad",1,"pre1900"
"225","2","solomon",1,"pre1900"
"226","2.00","ship",1,"pre1900"
"227","20","van",1,"pre1900"
"228","200,000","votes",1,"pre1900"
"229","21","dr",1,"pre1900"
"230","21","james",1,"pre1900"
