"","word1","word2","n","decade"
"1",NA,NA,206,"pre1850s"
"2","lynch","law",58,"pre1850s"
"3","san","francisco",7,"pre1850s"
"4","st","louis",7,"pre1850s"
"5","hourly","occurrence",5,"pre1850s"
"6","sir","robert",5,"pre1850s"
"7","dear","sir",4,"pre1850s"
"8","distressing","condition",4,"pre1850s"
"9","hundred","dollars",4,"pre1850s"
"10","judge","lynch",4,"pre1850s"
"11","lynch","law.the",4,"pre1850s"
"12","north","south",4,"pre1850s"
"13","provisional","government",4,"pre1850s"
"14","twenty","murders",4,"pre1850s"
"15","15,000","souls",3,"pre1850s"
"16","aquilla","barnes",3,"pre1850s"
"17","arrival","occurs",3,"pre1850s"
"18","col","turk",3,"pre1850s"
"19","dissatisfaction","exists",3,"pre1850s"
"20","ensuing","summer",3,"pre1850s"
"21","hundred","lashes",3,"pre1850s"
"22","law","sixty",3,"pre1850s"
"23","lynch","law.on",3,"pre1850s"
"24","poorer","inhabitants",3,"pre1850s"
"25","revenue","laws",3,"pre1850s"
"26","robert","peel",3,"pre1850s"
"27","united","kingdom",3,"pre1850s"
"28","volunteer","companies",3,"pre1850s"
"29","white","population",3,"pre1850s"
"30","white","river",3,"pre1850s"
"31","york","dated",3,"pre1850s"
"32","10th","inst",2,"pre1850s"
"33","12","o'clock",2,"pre1850s"
"34","25","1848",2,"pre1850s"
"35","28th","ult",2,"pre1850s"
"36","3d","inst",2,"pre1850s"
"37","active","search",2,"pre1850s"
"38","aged","father",2,"pre1850s"
"39","alarmed","separated",2,"pre1850s"
"40","american","naval",2,"pre1850s"
"41","american","navy",2,"pre1850s"
"42","american","seamen",2,"pre1850s"
"43","american","union",2,"pre1850s"
"44","barnes","son",2,"pre1850s"
"45","black","fellow",2,"pre1850s"
"46","british","journalists",2,"pre1850s"
"47","british","law",2,"pre1850s"
"48","british","officer",2,"pre1850s"
"49","british","soldier",2,"pre1850s"
"50","cadiz","november",2,"pre1850s"
"51","camelford","shot",2,"pre1850s"
"52","capturing","27",2,"pre1850s"
"53","caught","hold",2,"pre1850s"
"54","caught","stealing",2,"pre1850s"
"55","cold","blood",2,"pre1850s"
"56","colonel","turk",2,"pre1850s"
"57","colored","people",2,"pre1850s"
"58","commodore","jones",2,"pre1850s"
"59","considerable","sum",2,"pre1850s"
"60","cotton","elliot",2,"pre1850s"
"61","county","mo",2,"pre1850s"
"62","dated","cadiz",2,"pre1850s"
"63","days","succeeded",2,"pre1850s"
"64","de","joinville",2,"pre1850s"
"65","de","kalb",2,"pre1850s"
"66","de","mon",2,"pre1850s"
"67","dead","bodies",2,"pre1850s"
"68","december","25",2,"pre1850s"
"69","english","officer",2,"pre1850s"
"70","exchange","office",2,"pre1850s"
"71","excitement","prevails",2,"pre1850s"
"72","feb","13",2,"pre1850s"
"73","ferry","boat",2,"pre1850s"
"74","foreign","countries",2,"pre1850s"
