"","newspaper_name","n"
"1","The broad ax",188
"2","The Chicago whip",138
"3","The Pittsburgh Courier",138
"4","Atlanta Daily World",119
"5","The Chicago Defender National edition",107
"6","New Journal and Guide",95
"7","The Colorado statesman",83
"8","Philadelphia Tribune",65
"9","Iowa state bystander",62
"10","Huntsville gazette",60
"11","Phoenix tribune",50
"12","The monitor",45
"13","The New York Amsterdam News",39
"14","Cleveland Call and Post",37
"15","Metropolis weekly gazette",31
"16","The bystander",28
"17","New York Amsterdam News",26
"18","The Chicago Defender Big Weekend Edition",23
"19","Richmond planet",22
"20","The Denver star",18
"21","The forum",17
"22","Los Angeles Sentinel",16
"23","The Omaha guide",16
"24","Minneapolis spokesman",13
"25","The Northwest enterprise",12
"26","The Detroit tribune",11
"27","The Michigan chronicle",11
"28","The Appeal",10
"29","Arizona sun",9
"30","Daily Defender Daily Edition",9
"31","New national era",9
"32","The Washington bee",9
"33","The Phoenix index",8
"34","New Pittsburgh Courier",6
"35","Pittsburgh Courier",6
"36","St Paul recorder",6
"37","The Tulsa star",6
"38","Caytons weekly",5
"39","Chicago Daily Defender Daily Edition",5
"40","Chicago world",5
"41","Franklins paper the statesman",5
"42","The Dallas express",5
"43","The McDowell times",4
"44","The Twin City star",4
"45","The Wisconsin weekly blade",4
"46","Call and Post",3
"47","New York Age",3
"48","The Dayton forum",3
"49","The gazette",3
"50","The national era",3
"51","Arizona tribune",2
"52","Atlanta World",2
"53","The Chicago Illinois idea",2
"54","The Muskogee cimeter",2
"55","The Nashville globe",2
"56","The New York Age",2
"57","The Seattle Republican",2
"58","The statesman",2
"59","Courier",1
"60","Crusader",1
"61","Jackson advocate",1
"62","Metropolitan news",1
"63","New York Amsterdam StarNews",1
"64","Norfolk Journal",1
"65","Pioneer press",1
"66","St Louis Argus",1
"67","Sunday Chicago bee",1
"68","The Christian Educator",1
"69","The Crusader",1
"70","The Guardian Boston",1
"71","The Illinois times",1
"72","The Langston City herald",1
"73","The St Louis Argus",1
"74","The advocate",1
"75","The tribune independent of Michigan",1
