"","year","n","pct"
"1",-1,174,0.00%
"2",1789,292,0.00%
"3",1790,416,0.00%
"4",1791,500,0.00%
"5",1792,826,0.00%
"6",1793,640,0.00%
"7",1794,1211,0.01%
"8",1795,800,0.00%
"9",1796,863,0.00%
"10",1797,813,0.00%
"11",1798,1039,0.01%
"12",1799,1227,0.01%
"13",1800,1387,0.01%
"14",1801,1393,0.01%
"15",1802,1830,0.01%
"16",1803,2215,0.01%
"17",1804,2387,0.01%
"18",1805,2736,0.02%
"19",1806,2730,0.02%
"20",1807,3166,0.02%
"21",1808,3246,0.02%
"22",1809,2955,0.02%
"23",1810,2381,0.01%
"24",1811,2415,0.01%
"25",1812,2303,0.01%
"26",1813,2397,0.01%
"27",1814,1757,0.01%
"28",1815,2039,0.01%
"29",1816,2429,0.01%
"30",1817,1639,0.01%
"31",1818,2010,0.01%
"32",1819,2012,0.01%
"33",1820,1981,0.01%
"34",1821,2179,0.01%
"35",1822,2585,0.01%
"36",1823,2822,0.02%
"37",1824,3024,0.02%
"38",1825,2660,0.01%
"39",1826,3450,0.02%
"40",1827,3656,0.02%
"41",1828,4415,0.02%
"42",1829,5123,0.03%
"43",1830,4911,0.03%
"44",1831,4244,0.02%
"45",1832,3907,0.02%
"46",1833,3144,0.02%
"47",1834,3074,0.02%
"48",1835,2722,0.02%
"49",1836,5916,0.03%
"50",1837,7363,0.04%
"51",1838,9063,0.05%
"52",1839,10825,0.06%
"53",1840,11466,0.06%
"54",1841,12695,0.07%
"55",1842,14709,0.08%
"56",1843,16258,0.09%
"57",1844,17558,0.10%
"58",1845,21565,0.12%
"59",1846,21761,0.12%
"60",1847,18673,0.10%
"61",1848,20064,0.11%
"62",1849,18286,0.10%
"63",1850,23984,0.13%
"64",1851,28105,0.16%
"65",1852,30404,0.17%
"66",1853,36735,0.20%
"67",1854,40044,0.22%
"68",1855,42275,0.23%
"69",1856,45812,0.25%
"70",1857,46540,0.26%
"71",1858,51561,0.29%
"72",1859,56670,0.31%
"73",1860,61057,0.34%
"74",1861,59496,0.33%
"75",1862,53332,0.29%
"76",1863,52830,0.29%
"77",1864,53233,0.29%
"78",1865,54048,0.30%
"79",1866,67174,0.37%
"80",1867,63959,0.35%
"81",1868,67338,0.37%
"82",1869,60696,0.34%
"83",1870,63499,0.35%
"84",1871,66227,0.37%
"85",1872,76443,0.42%
"86",1873,83679,0.46%
"87",1874,88551,0.49%
"88",1875,92716,0.51%
"89",1876,91533,0.51%
"90",1877,89324,0.49%
"91",1878,93599,0.52%
"92",1879,90944,0.50%
"93",1880,98159,0.54%
"94",1881,102326,0.57%
"95",1882,109324,0.60%
"96",1883,116466,0.64%
"97",1884,129861,0.72%
"98",1885,132070,0.73%
"99",1886,137359,0.76%
"100",1887,151409,0.84%
"101",1888,153810,0.85%
"102",1889,158184,0.87%
"103",1890,178866,0.99%
"104",1891,198460,1.10%
"105",1892,209020,1.16%
"106",1893,216329,1.20%
"107",1894,230383,1.27%
"108",1895,243186,1.34%
"109",1896,261904,1.45%
"110",1897,267248,1.48%
"111",1898,279115,1.54%
"112",1899,295208,1.63%
"113",1900,311956,1.72%
"114",1901,317516,1.76%
"115",1902,337701,1.87%
"116",1903,344002,1.90%
"117",1904,374291,2.07%
"118",1905,388726,2.15%
"119",1906,403825,2.23%
"120",1907,414570,2.29%
"121",1908,427080,2.36%
"122",1909,456404,2.52%
"123",1910,472824,2.61%
"124",1911,444150,2.46%
"125",1912,479861,2.65%
"126",1913,488659,2.70%
"127",1914,472301,2.61%
"128",1915,471415,2.61%
"129",1916,478166,2.64%
"130",1917,463900,2.56%
"131",1918,429669,2.38%
"132",1919,472169,2.61%
"133",1920,459330,2.54%
"134",1921,412340,2.28%
"135",1922,397825,2.20%
"136",1923,105419,0.58%
"137",1924,88999,0.49%
"138",1925,70865,0.39%
"139",1926,68130,0.38%
"140",1927,68820,0.38%
"141",1928,65772,0.36%
"142",1929,65501,0.36%
"143",1930,62402,0.34%
"144",1931,63329,0.35%
"145",1932,61866,0.34%
"146",1933,61646,0.34%
"147",1934,72013,0.40%
"148",1935,76388,0.42%
"149",1936,67809,0.37%
"150",1937,58305,0.32%
"151",1938,52791,0.29%
"152",1939,55121,0.30%
"153",1940,63969,0.35%
"154",1941,84674,0.47%
"155",1942,79883,0.44%
"156",1943,74782,0.41%
"157",1944,71514,0.40%
"158",1945,74213,0.41%
"159",1946,58085,0.32%
"160",1947,51359,0.28%
"161",1948,47528,0.26%
"162",1949,49711,0.27%
"163",1950,50603,0.28%
"164",1951,50051,0.28%
"165",1952,53924,0.30%
"166",1953,53617,0.30%
"167",1954,53375,0.30%
"168",1955,52280,0.29%
"169",1956,54204,0.30%
"170",1957,52838,0.29%
"171",1958,51376,0.28%
"172",1959,54311,0.30%
"173",1960,55972,0.31%
"174",1961,52406,0.29%
"175",1962,52661,0.29%
"176",1963,49186,0.27%
