"","year","count","pct_whole","rank_new"
"1",1903,497,4.36,1
"2",1897,381,3.34,2
"3",1906,366,3.21,3
"4",1909,363,3.19,4
"5",1901,333,2.92,5
"6",1919,332,2.91,6
"7",1899,323,2.83,7
"8",1893,300,2.63,8
"9",1907,288,2.53,9
"10",1908,284,2.49,10
"11",1920,281,2.47,11
"12",1910,276,2.42,12
"13",1894,265,2.33,13
"14",1902,265,2.33,13
"15",1911,260,2.28,14
"16",1898,256,2.25,15
"17",1891,255,2.24,16
"18",1895,245,2.15,17
"19",1892,244,2.14,18
"20",1900,235,2.06,19
"21",1904,228,2,20
"22",1912,204,1.79,21
"23",1896,185,1.62,22
"24",1915,184,1.61,23
"25",1918,161,1.41,24
"26",1916,159,1.4,25
"27",1905,156,1.37,26
"28",1921,154,1.35,27
"29",1913,150,1.32,28
"30",1930,141,1.24,29
"31",1889,140,1.23,30
"32",1883,139,1.22,31
"33",1888,136,1.19,32
"34",1884,133,1.17,33
"35",1922,121,1.06,34
"36",1882,115,1.01,35
"37",1887,113,0.99,36
"38",1886,92,0.81,37
"39",1917,91,0.8,38
"40",1914,89,0.78,39
"41",1851,87,0.76,40
"42",1933,86,0.75,41
"43",1855,84,0.74,42
"44",1934,84,0.74,42
"45",1946,83,0.73,43
"46",1890,73,0.64,44
"47",1881,72,0.63,45
"48",1880,71,0.62,46
"49",1857,68,0.6,47
"50",1885,68,0.6,47
"51",1931,63,0.55,48
"52",1926,60,0.53,49
"53",1859,59,0.52,50
"54",1871,59,0.52,50
"55",1856,56,0.49,51
"56",1874,52,0.46,52
"57",1932,50,0.44,53
"58",1854,49,0.43,54
"59",1873,48,0.42,55
"60",1923,47,0.41,56
"61",1860,45,0.39,57
"62",1872,44,0.39,57
"63",1942,44,0.39,57
"64",1935,43,0.38,58
"65",1947,43,0.38,58
"66",1858,41,0.36,59
"67",1853,36,0.32,60
"68",1937,34,0.3,61
"69",1878,33,0.29,62
"70",1949,32,0.28,63
"71",1849,31,0.27,64
"72",1852,31,0.27,64
"73",1868,28,0.25,65
"74",1879,29,0.25,65
"75",1927,28,0.25,65
"76",1936,29,0.25,65
"77",1959,25,0.22,66
"78",1875,24,0.21,67
"79",1876,23,0.2,68
"80",1938,23,0.2,68
"81",1924,21,0.18,69
"82",1863,19,0.17,70
"83",1877,19,0.17,70
"84",1928,19,0.17,70
"85",1940,19,0.17,70
"86",1948,19,0.17,70
"87",1861,18,0.16,71
"88",1848,17,0.15,72
"89",1943,17,0.15,72
"90",1850,16,0.14,73
"91",1929,16,0.14,73
"92",1841,14,0.12,74
"93",1846,14,0.12,74
"94",1865,14,0.12,74
"95",1870,14,0.12,74
"96",1925,13,0.11,75
"97",1944,12,0.11,75
"98",1960,13,0.11,75
"99",1941,11,0.1,76
"100",1835,10,0.09,77
"101",1939,10,0.09,77
"102",1842,9,0.08,78
"103",1845,9,0.08,78
"104",1955,8,0.07,79
"105",1862,7,0.06,80
"106",1945,7,0.06,80
"107",1844,6,0.05,81
"108",1847,6,0.05,81
"109",1867,6,0.05,81
"110",1839,4,0.04,82
"111",1843,5,0.04,82
"112",1864,4,0.04,82
"113",1866,4,0.04,82
"114",1869,5,0.04,82
"115",1951,5,0.04,82
"116",1957,5,0.04,82
"117",1961,5,0.04,82
"118",1968,4,0.04,82
"119",1805,3,0.03,83
"120",1836,3,0.03,83
"121",1950,3,0.03,83
"122",1956,3,0.03,83
"123",1965,3,0.03,83
"124",1966,3,0.03,83
"125",1977,3,0.03,83
"126",1837,2,0.02,84
"127",1952,2,0.02,84
"128",1964,2,0.02,84
"129",1987,2,0.02,84
"130",1988,2,0.02,84
"131",1999,2,0.02,84
"132",1838,1,0.01,85
"133",1953,1,0.01,85
"134",1954,1,0.01,85
"135",1958,1,0.01,85
"136",1962,1,0.01,85
"137",1963,1,0.01,85
"138",1969,1,0.01,85
"139",1972,1,0.01,85
"140",1982,1,0.01,85
"141",1989,1,0.01,85
"142",1991,1,0.01,85
"143",1994,1,0.01,85
"144",1998,1,0.01,85
"145",2002,1,0.01,85
