value,filename
IN ATTEMPT TO,86307_0.txt
LYNCH NEGRO,86307_0.txt
TWO KILLED,86307_0.txt
"WINNESBORO, S. C., June 14.- A",86307_0.txt
"white man named Eisenhauer, and",86307_0.txt
charged with,86307_0.txt
"Utes Smith, a negro",86307_0.txt
"criminal assault on a young girl, were",86307_0.txt
"killed here today, as the result of the",86307_0.txt
attempt by a mob to lynch Smith. The,86307_0.txt
"mob gathered in front of the jail, and",86307_0.txt
demanded the sheriff to deliver his,86307_0.txt
prisoner up to them. The sheriff re,86307_0.txt
"fused, and threatened to fire on the",86307_0.txt
crowd if they charged the jail. The,86307_0.txt
sheriff had sworn in a squad of special,86307_0.txt
"deputies, and on the refusal of",86307_0.txt
"the sheriff to give them the negro,",86307_0.txt
the mob surged forward and broke,86307_0.txt
into the jail. The officers fired on the,86307_0.txt
mob killing Eisenhauer. Pistols were,86307_0.txt
"drawn by the mob, and in the merce",86307_0.txt
which followed five of the special,86307_0.txt
"were wounded, and the negro",86307_0.txt
deputies was shot and killed.,86307_0.txt
Woman Lynched,86308_0.txt
"ARLINGTON, Ga., Oct. 10.- Sarah",86308_0.txt
"Connolly, a negress, who together",86308_0.txt
"with her son Sam, was charged with",86308_0.txt
"the murder of William McElvain, a",86308_0.txt
"planter, last Monday, was taken from",86308_0.txt
the jail at Leary near here today by,86308_0.txt
a mob and lynched. The son had been,86308_0.txt
removed elsewhere for safe keeping.,86308_0.txt
The woman's body was riddled,86308_0.txt
the mob's bullets. by,86308_0.txt
ARTIST ADMITS,86310_0.txt
TAKING PART,86310_0.txt
IN LYNCHING,86310_0.txt
"OMAHA, Oct. 15( by Associated",86310_0.txt
ress) .- Detectives say that Leonard,86310_0.txt
"Webster, an advertising artist who is",86310_0.txt
"under arrest, has confessed to taking",86310_0.txt
"part in the lynching of a negro, the",86310_0.txt
burning of the court house and the,86310_0.txt
attempted lynching of Mayor Smith,86310_0.txt
recently.,86310_0.txt
It is stated that Webster admitted,86310_0.txt
having struck the mayor over the head,86310_0.txt
with a gun Webster is employed by,86310_0.txt
the World- Herald..,86310_0.txt
NEGRO IS LYNCHED,86312_0.txt
FOR HEINOUS CRIME,86312_0.txt
"PARIS, Ky .. March 30( by Associated",86312_0.txt
Press). Forty men took Grant,86312_0.txt
"Smith, a negro, from the officers last",86312_0.txt
night and lynched him to a telegraph,86312_0.txt
pole Smith had assaulted a 14- year,86312_0.txt
old girl..,86312_0.txt
QUIET AGAIN REIGNS,86314_0.txt
AFTER NEGRO LYNCHING,86314_0.txt
"DULUTH, Minn., June 17( by Associated",86314_0.txt
Press) .- With the departure,86314_0.txt
of two companies of national guard,86314_0.txt
for their headquarters at Fort Snell-,86314_0.txt
"ing, the home guard today took over",86314_0.txt
patrol of the mob district where three,86314_0.txt
negroes were lynched. Quiet now prevails,86314_0.txt
and there seems no,86314_0.txt
of further disturbances. probability,86314_0.txt
Posse Riddles Fugitive,86315_0.txt
"Auburn, Cal., Oct. 14- J. Garred,",86315_0.txt
who two days ago shot and severely,86315_0.txt
wounded Louis Faller and the latter's,86315_0.txt
"wife, was himself killed this morning",86315_0.txt
by the members of a sheriff's posse.,86315_0.txt
"Garred, when the posse came upon",86315_0.txt
"him, showed fight and was",86315_0.txt
ately riddled with bullets. immedi,86315_0.txt
"MOB, MURDER BENT",86315_1.txt
PURSUES PORTER,86315_1.txt
"Spokane, Oct. 13- Pursned by a",86315_1.txt
"mob, that threatenes to lynch him, a",86315_1.txt
negro porter employed on the Northern,86315_1.txt
Pacific is fleeing for his life as,86315_1.txt
the result of the attack made by him,86315_1.txt
on Oscar Travis this morning. Travis,86315_1.txt
was a passenger on the overland,86315_1.txt
train arriving here this morning and,86315_1.txt
as he was stepping from the train he,86315_1.txt
was attacked by the porter who at-,86315_1.txt
tempted to do murder.,86315_1.txt
The attack grows out of a quarrel,86315_1.txt
between Travis and the porter as the,86315_1.txt
result of some misdeed of the porter's,86315_1.txt
while the train was enroute from the,86315_1.txt
east. Travis believed that the affair,86315_1.txt
was forgotten and was caught entirely,86315_1.txt
unawares by the porter when the,86315_1.txt
latter made his attack. The assault,86315_1.txt
"was witnessed by a number of men,",86315_1.txt
who when they found out that Travis,86315_1.txt
is seriously injured vowed,86315_1.txt
and started in search of the vengeance negro.,86315_1.txt
PRISONER ESCAPES,86316_0.txt
IN SHERIFF'S AUTO,86316_0.txt
Mob Which Wanted to Hang Him,86316_0.txt
Join Sheriff in Autos to,86316_0.txt
Capture Him.,86316_0.txt
"Guthrie, Sept. 9 .-- William",86316_0.txt
"Green, a negro, shot and killed",86316_0.txt
two policemen when they at,86316_0.txt
tempted to take him in charge for,86316_0.txt
disturbing the peace. Green surrendered,86316_0.txt
"himself to the sheriff,",86316_0.txt
when attacked by a mob.,86316_0.txt
The mob attempted to take the,86316_0.txt
from the sheriff but he,86316_0.txt
"prisoner,",86316_0.txt
was rushed to an auto. The,86316_0.txt
sheriff hoped to get the prisoner,86316_0.txt
beyond the vengeance of the,86316_0.txt
"mob, which wanted to lynch him",86316_0.txt
and in the excitement the negro,86316_0.txt
escaped in the auto alone. The,86316_0.txt
sheriff is pursuing him as is also,86316_0.txt
"a large portion of the mob, and",86316_0.txt
it is a question of the endurance,86316_0.txt
of the machines in which,86316_0.txt
are riding. they,86316_0.txt
IS TAKEN FROM,86317_0.txt
"JAIL, STRUNG UP",86317_0.txt
BY MOB OF 200,86317_0.txt
Sheriff in Missouri Overpowered,86317_0.txt
in Office- Negro,86317_0.txt
Fiend Is Lynched.,86317_0.txt
"CHARLESTON, Mo., Dec. 19 .-- A",86317_0.txt
mob of over 200 men overpowered,86317_0.txt
"Sheriff B. B. Jackson, in his office",86317_0.txt
"last night, and, dragged Roosevelt",86317_0.txt
"Grigsby, aged 20, a negro, from a",86317_0.txt
the court yard and,86317_0.txt
"coll, across",86317_0.txt
"banged him to a tree, within 50",86317_0.txt
fcet of the Sheriff's office.,86317_0.txt
The mob then riddled the body,86317_0.txt
"with bullets, cut it down and tied",86317_0.txt
it behind an auto and dragged it,86317_0.txt
through the streets of the negro,86317_0.txt
"section. Following this, the body",86317_0.txt
thrown into a bonfire. The,86317_0.txt
was,86317_0.txt
mob then dispersed.,86317_0.txt
Grigsby had been identified as,86317_0.txt
assailant of a white girl. the,86317_0.txt
ENRAGED NEGRO,86320_0.txt
FIRES INTO CROWD,86320_0.txt
Police Rush Him to Jail to Keep,86320_0.txt
Mob of Whites From Lynch:,86320_0.txt
ing Him.,86320_0.txt
"Detroit, Sepi. 22 .-- A colored",86320_0.txt
man who was ejected from a,86320_0.txt
street car for forcing his attes,86320_0.txt
tions upon some white women,86320_0.txt
drew a revolver and opened the,86320_0.txt
on the crowd. The car WS,86320_0.txt
crowded and three of the bullets,86320_0.txt
took effect. One of the wounded,86320_0.txt
will die but the others will re,86320_0.txt
cover.,86320_0.txt
The negro attempted to escape,86320_0.txt
but was captured by the police,86320_0.txt
who rushed him to headquarters,86320_0.txt
in an auto to keep him from be,86320_0.txt
lynched. A mob gathered in,86320_0.txt
front of the jail and demanded!,86320_0.txt
the surrender of the prisoner but,86320_0.txt
persuaded by the police to,86320_0.txt
were disperse.,86320_0.txt
One Negro Lynched.,86322_0.txt
"EULALA, Fla., Feb. 13.- Anov Pe",86322_0.txt
"terson, who was in jail here charged",86322_0.txt
with attempted assault on a white,86322_0.txt
girl jail here charg,86322_0.txt
", was in",86322_0.txt
by a mob and lynched to a,86322_0.txt
today nearby telegraph pole.,86322_0.txt
TWO NEGROES ARE LYNCHED,86323_0.txt
To the Music of Church Bells They,86323_0.txt
Are Swung Into Eternity.,86323_0.txt
[ The Citizen Special Service.l,86323_0.txt
"AUGUSTA, Ga., Feb. 26.- As the",86323_0.txt
church bells were ringing this morn,86323_0.txt
were taken from,86323_0.txt
ing two negroes,86323_0.txt
the jail at Warrensburg and lynched,86323_0.txt
by a mob. Very little resistance,86323_0.txt
"was made by the jailors, and the",86323_0.txt
mob went about its work in a systematic,86323_0.txt
manner. dispersing quietly,86323_0.txt
after the negroes had been hanged.,86323_0.txt
Both of negroes were charged,86323_0.txt
with having the murdered white men.,86323_0.txt
NEGRO IS LYNCHED.,86325_0.txt
"MEMPHIS, Feb. 15. Jack Slad",86325_0.txt
"en, a negro, was lynched by a mobing",86325_0.txt
of infuriated citizens here this after-,86325_0.txt
noon for the crime of assaulting,86325_0.txt
white girl. a,86325_0.txt
KANSAS MOB HANGS,86331_0.txt
ALLEGED MURDERER,86331_0.txt
OVERPOW.,86331_0.txt
MASKED MOTORISTS,86331_0.txt
ER SHERIFF AND BREAK,86331_0.txt
DOWN 3 JAIL DOORS.,86331_0.txt
"OLATHE Kan., Sept. 25.- Bert",86331_0.txt
",",86331_0.txt
"Dudley, charged with the murder of",86331_0.txt
"Henry Muller, an aged German and",86331_0.txt
"his wife, was taken from the Johnson",86331_0.txt
county jail here early this morning,86331_0.txt
by a masked mob and hanged to a,86331_0.txt
telephone pole.,86331_0.txt
The mob came to Olathe in motor,86331_0.txt
"cars, supposedly from near Stilwell,",86331_0.txt
where Miller had lived. Sheriff Lon,86331_0.txt
Caroll refused to give up Dudley and,86331_0.txt
the mob overpowered him. They then,86331_0.txt
battered down three jail doors. Sev-,86331_0.txt
"shots were fired, but none were",86331_0.txt
injured eral.,86331_0.txt
The press agent of the mob that hanged Leo Frank hastens,86335_0.txt
to deny that the body was mutilated or that there was any intention,86335_0.txt
to mutilate it. We are given to understand that the,86335_0.txt
mob's dignified and orderly aim merely was to carry out the,86335_0.txt
"order of the court which had condemned Frank to death, and",86335_0.txt
"that it was not overriding the law, but the governor's order.",86335_0.txt
There are many who will accept this as a squaring up of the,86335_0.txt
mob's course with the law of God all and man.,86335_0.txt
Villa's car has been attached by a woman who says she,86335_1.txt
paid him a large sum of money to save her brother's life but,86335_1.txt
Villa went ahead and shot him A contract not to murder is,86335_1.txt
contrary to Villa's constitution..,86335_1.txt
Continued on Second Page.,86337_0.txt
No.,86337_0.txt
8,86337_0.txt
A LYNCHING IN MARYLAND,86337_0.txt
.,86337_0.txt
.,86337_0.txt
William Andrews Hanged at Prin-,86337_0.txt
", cess Anne Courthouse Door.",86337_0.txt
the,86337_0.txt
THE FURY OF THE PEOPLE,86337_0.txt
He Had Just Been Sentenced in,86337_0.txt
Court to Be Hanged for a Criminal,86337_0.txt
Assault Upon Mrs. Kelly- The,86337_0.txt
Moh Did Not Wait for the Law to,86337_0.txt
Eud His Life.,86337_0.txt
the,86337_0.txt
-,86337_0.txt
"Princess Anne, Md., June 9.- William",86337_0.txt
"Andrews, alias"" Cuba,"" colored, was taken",86337_0.txt
from the officers at the courthouse door by,86337_0.txt
a mob this morning and lynched.,86337_0.txt
at,86337_0.txt
Andrews feloniously assaulted Mrs. Mary,86337_0.txt
"Kelly, of Marion, Somerset county, a few",86337_0.txt
weeks ago.,86337_0.txt
To prevent his being lynched he was,86337_0.txt
taken to Baltimore and was brought back,86337_0.txt
today for trial.,86337_0.txt
to He pleaded guilty and was sentenced by,86337_0.txt
Judge Page to be hanged. Just as the,86337_0.txt
officers were leaving the courthouse to,86337_0.txt
",",86337_0.txt
"take prisoner back to jail, the mob",86337_0.txt
took him the and killed him.,86337_0.txt
Ten of the fourteen men charged with,86342_0.txt
participating in the attack made on the,86342_0.txt
"county jail at Norfolk, Va., last week",86342_0.txt
by a mob bent on lynching were each,86342_0.txt
fined$ 100 and costs and sixty days,86342_0.txt
in jail. The others were given discharged.,86342_0.txt
TWO NEGROES LYNCHED.,86343_0.txt
Three Riddled With Bullets in Ala,86343_0.txt
bama- Accused of Poisoning Mules.,86343_0.txt
"MONTGOMERY, Ala., August 18. In",86343_0.txt
"Kide"" Jackson Henry Russell,",86343_0.txt
and,86343_0.txt
"negroes, were lynched at Hope Hull,",86343_0.txt
In,86343_0.txt
"ten miles from here, early this morning",86343_0.txt
"by a masked mob. Another negro,",86343_0.txt
"whose name has not been learned, was",86343_0.txt
"rescued, but he died at a local hospital",86343_0.txt
later.,86343_0.txt
The negroes were charged with poisoning,86343_0.txt
mules on the McLain plantation,86343_0.txt
several months ago.,86343_0.txt
The mob proceeded quietly. They,86343_0.txt
"went to the negroes' homes, mound and",86343_0.txt
"gagged them, riddled their bodies with",86343_0.txt
bullets and threw them into a ditch.,86343_0.txt
"No arrests have been made as yet, although",86343_0.txt
the sheriff's forces are working,86343_0.txt
in the vicinity of the crime trying,86343_0.txt
locate the lynchers. to,86343_0.txt
PRISONER ADMITS,86345_0.txt
CAPITAL CRIMES,86345_0.txt
