"","ID","Date","URL","Y/N - Describes a Lynching?","Notes","Reviewed by TE","Notes from TE","rsw questions","...1","...2","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","newspaper_state","file_id2","index"
"1",14793,1789-09-23,"https://articleextractor.org/pages/14793/dlc_himalayan_ver02/sn83030483/1789/09/23/ed-1/seq-3/0?user_id=6","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",15961,1792-07-11,"https://articleextractor.org/pages/15961/dlc_himalayan_ver02/sn83030483/1792/07/11/ed-1/seq-3/0?user_id=6","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",15959,1794-05-30,"https://articleextractor.org/pages/15959/dlc_iranese_ver01/sn83025878/1794/05/30/ed-1/seq-3/0?user_id=10","No","Mob hanging man","x","Article mentions a mob hanging a man but from my understanding is more of an example for a rhetorical argument and does not mention race.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",15955,1805-01-14,"https://articleextractor.org/pages/15955/dlc_domestic_ver01/sn83045242/1805/01/14/ed-1/seq-3/0?user_id=10","Yes","In a town, the poor inhabitants mobbed and hanged the governer","x","Mentions poor inhabitants hanging their governor but does not mention race or motives.","in the U.S? what state?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",15958,1805-01-19,"https://articleextractor.org/pages/15958/vi_otters_ver02/sn84024710/1805/01/19/ed-1/seq-3/0?user_id=10","Yes","Mob hanged governor","x","Mentions poor inhabitants hanging their governor but does not mention race or motives.","in the U.S? what state?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",15954,1805-02-01,"https://articleextractor.org/pages/15954/wvu_hogan_ver01/sn85059525/1805/02/01/ed-1/seq-2/0?user_id=10","Yes","Mob hanged governor","x","Mentions poor inhabitants hanging their governor but does not mention race or motives.","in the U.S? what state?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",15953,1807-07-21,"https://articleextractor.org/pages/15953/vi_loons_ver01/sn84024736/1807/07/21/ed-1/seq-2/0?user_id=10","No","Mob in Norfolk","x","Referring to the army as a mob and Gen. Lee as the mob leader.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",15951,1812-09-08,"https://articleextractor.org/pages/15951/vi_loons_ver01/sn84024736/1812/09/08/ed-1/seq-1/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",15949,1820-12-26,"https://articleextractor.org/pages/15949/me_calais_ver02/sn83016083/1820/12/26/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",15952,1823-07-22,"https://articleextractor.org/pages/15952/vi_dartmoor_ver03/sn85027015/1823/07/22/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",15948,1826-10-12,"https://articleextractor.org/pages/15948/vi_dartmoor_ver03/sn85027015/1826/10/12/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",15946,1835-07-23,"https://articleextractor.org/pages/15946/vi_dartmoor_ver03/sn84024649/1835/07/23/ed-1/seq-2/0?user_id=10","further analysis",NA,"x","Mentions the hanging of two white men and seven negroes in Clinton, Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",15943,1835-07-31,"https://articleextractor.org/pages/15943/arhi_elvis_ver01/sn87062070/1835/07/31/ed-1/seq-2/0?user_id=10","Yes","commitee of 13 respectable men was appointed in Madison county were hung.","x","States 5 white men had been hung in Livingston. Mentions a court case where 2 members of the jury were ""hung"" in their verdict.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",15943,1835-08-01,"https://articleextractor.org/pages/15941/wvu_queen_ver01/sn84026826/1835/08/01/ed-1/seq-2/0?user_id=10","Yes",NA,"x","5 men were hung by a mob in MS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15939,1835-09-05,"https://articleextractor.org/pages/15939/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",15937,1835-09-05,"https://articleextractor.org/pages/15937/wvu_queen_ver01/sn84026826/1835/09/05/ed-1/seq-3/0?user_id=10","Yes","A hairdresser of Charleston, South Carolina","x","""R.W. Carroll a hair dresser was lynched. ... His offence was dealing with, and receiving stolen goods from slaves, against which had repeatedly been warned""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",8052,1835-09-08,"https://articleextractor.org/pages/8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",16487,1835-09-11,"https://articleextractor.org/pages/16487/vi_naturals_ver01/sn84024735/1835/09/11/ed-1/seq-3/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",15960,1835-09-12,"https://articleextractor.org/pages/15960/wvu_queen_ver01/sn84026826/1835/09/12/ed-1/seq-2/0?user_id=10","No",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
