"","...1","file_id","article_id","sn","newspaper_name","year","month","day","page","edition","mod_id","URL","newspaper_state","file_id2"
"1",313,"8062","0","sn84020358","The daily morning journal and courier (New Haven, Conn...)","1898","1","29","seq-4","ed-1","1","http://localhost:62222/pages/8062/ct_ash_ver01/sn84020358/1898/01/29/ed-1/seq-4/1","Connecticut","8062_0"
"2",1189,"8065","0","sn83040340","The Iola register (Iola, Allen Cou...)","1889","3","22","seq-7","ed-1","1","http://localhost:62222/pages/8065/khi_dole_ver01/sn83040340/1889/03/22/ed-1/seq-7/1","Kansas","8065_0"
"3",1432,"8083","0","sn83016527","True American (New Orleans [La...)","1838","8","25","seq-2","ed-1","1","http://localhost:62222/pages/8083/lu_sands_ver01/sn83016527/1838/08/25/ed-1/seq-2/1","Louisiana","8083_0"
"4",1433,"8083","1","sn83016527","True American (New Orleans [La...)","1838","8","25","seq-2","ed-1","1","http://localhost:62222/pages/8083/lu_sands_ver01/sn83016527/1838/08/25/ed-1/seq-2/1","Louisiana","8083_1"
"5",123,"8089","0","sn85038485","The Birmingham age-herald (Birmingham, Ala...)","1912","5","7","seq-8","ed-1","1","http://localhost:62222/pages/8089/au_huie_ver01/sn85038485/1912/05/07/ed-1/seq-8/1","Alabama","8089_0"
"6",595,"8097","0","sn85042354","Evening journal (Wilmington, Del...)","1890","4","24","seq-4","ed-1","1","http://localhost:62222/pages/8097/deu_arden_ver01/sn85042354/1890/04/24/ed-1/seq-4/1","Delaware","8097_0"
"7",1659,"8100","0","sn83016589","The Mankato free press (Mankato, Blue E...)","1889","5","31","seq-1","ed-1","1","http://localhost:62222/pages/8100/mnhi_fencing_ver02/sn83016589/1889/05/31/ed-1/seq-1/1","Minnesota","8100_0"
"8",1639,"8145","0","sn83016804","St. Paul recorder (St. Paul, Minn.)","1938","11","4","seq-2","ed-1","1","http://localhost:62222/pages/8145/mnhi_dodgeball_ver01/sn83016804/1938/11/04/ed-1/seq-2/1","Minnesota","8145_0"
"9",1722,"8152","0","sn90059523",NA,"1896","10","22","seq-2","ed-1","1","http://localhost:62222/pages/8152/mnhi_iona_ver01/sn90059523/1896/10/22/ed-1/seq-2/1","Minnesota","8152_0"
"10",2196,"8168","0","sn91068076","Asheville daily citizen (Asheville, N.C.)","1893","2","1","seq-1","ed-1","1","http://localhost:62222/pages/8168/ncu_cane_ver01/sn91068076/1893/02/01/ed-1/seq-1/1","North Carolina","8168_0"
"11",1176,"8170","0","sn85029677","Phillipsburg herald (Phillipsburg, K...)","1893","2","2","seq-7","ed-1","1","http://localhost:62222/pages/8170/khi_curry_ver01/sn85029677/1893/02/02/ed-1/seq-7/1","Kansas","8170_0"
"12",1852,"8172","0","sn89067274",NA,"1893","2","2","seq-2","ed-1","1","http://localhost:62222/pages/8172/mohi_garfield_ver01/sn89067274/1893/02/02/ed-1/seq-2/1","Missouri","8172_0"
"13",494,"8175","0","sn94052989","The morning call (San Francisco [...)","1892","6","28","seq-1","ed-1","1","http://localhost:62222/pages/8175/curiv_garberville_ver01/sn94052989/1892/06/28/ed-1/seq-1/1","California","8175_0"
"14",1018,"8208","0","sn84022135","Idaho semi-weekly world (Idaho City, Ida...)","1888","4","10","seq-2","ed-1","2","http://localhost:62222/pages/8208/idhi_eliot_ver01/sn84022135/1888/04/10/ed-1/seq-2/2","Idaho","8208_0"
"15",3409,"8216","0","sn87008085","The Newport miner (Newport, Wash.)","1912","12","12","seq-7","ed-1","2","http://localhost:62222/pages/8216/wa_duwamish_ver01/sn87008085/1912/12/12/ed-1/seq-7/2","Idaho","8216_0"
"16",1262,"8235","0","sn82016014","The Topeka state journal (Topeka, Kansas)","1896","12","28","seq-4","ed-1","2","http://localhost:62222/pages/8235/khi_inge_ver01/sn82016014/1896/12/28/ed-1/seq-4/2","Kansas","8235_0"
"17",2501,"8322","0","sn83030193","The evening world (New York, N.Y.)","1912","12","6","seq-1","ed-1","3","http://localhost:62222/pages/8322/nn_iversen_ver01/sn83030193/1912/12/06/ed-1/seq-1/3","New York","8322_0"
"18",1444,"8324","0","sn85038292","The Democratic advocate (Westminster, Md...)","1889","11","16","seq-2","ed-1","2","http://localhost:62222/pages/8324/mdu_douglass_ver01/sn85038292/1889/11/16/ed-1/seq-2/2","Maryland","8324_0"
"19",3389,"8333","0","sn87093407","The Seattle star (Seattle, Wash.)","1917","12","27","seq-2","ed-1","2","http://localhost:62222/pages/8333/wa_alki_ver01/sn87093407/1917/12/27/ed-1/seq-2/2","Washington","8333_0"
