Unnamed: 0,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,newspaper_state,url_fixed,date,date2,URL
1259,8062,0,sn84020358,"The daily morning journal and courier (New Haven, Conn...)",1898,1,29,seq-4,ed-1,1,Connecticut,https://articleextractor.org/pages/8062/ct_ash_ver01/sn84020358,1898-01-29,1898/01/29,https://articleextractor.org/pages/8062/ct_ash_ver01/sn84020358/1898/01/29/ed-1/seq-4/0?user_id=6
4170,8065,0,sn83040340,"The Iola register (Iola, Allen Cou...)",1889,3,22,seq-7,ed-1,1,Kansas,https://articleextractor.org/pages/8065/khi_dole_ver01/sn83040340,1889-03-22,1889/03/22,https://articleextractor.org/pages/8065/khi_dole_ver01/sn83040340/1889/03/22/ed-1/seq-7/0?user_id=6
5127,8083,1,sn83016527,True American (New Orleans [La...),1838,8,25,seq-2,ed-1,1,Louisiana,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527,1838-08-25,1838/08/25,https://articleextractor.org/pages/8083/lu_sands_ver01/sn83016527/1838/08/25/ed-1/seq-2/0?user_id=6
870,8089,0,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1912,5,7,seq-8,ed-1,1,Alabama,https://articleextractor.org/pages/8089/au_huie_ver01/sn85038485,1912-05-07,1912/05/07,https://articleextractor.org/pages/8089/au_huie_ver01/sn85038485/1912/05/07/ed-1/seq-8/0?user_id=6
1825,8097,0,sn85042354,"Evening journal (Wilmington, Del...)",1890,4,24,seq-4,ed-1,1,Delaware,https://articleextractor.org/pages/8097/deu_arden_ver01/sn85042354,1890-04-24,1890/04/24,https://articleextractor.org/pages/8097/deu_arden_ver01/sn85042354/1890/04/24/ed-1/seq-4/0?user_id=6
5136,8116,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,Maryland,https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136,1899-04-28,1899/04/28,https://articleextractor.org/pages/8116/mdu_belair_ver01/sn89060136/1899/04/28/ed-1/seq-2/0?user_id=6
1854,8127,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,Delaware,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354,1912-06-25,1912/06/25,https://articleextractor.org/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/0?user_id=6
5196,8129,0,sn89060092,NA,1896,2,7,seq-6,ed-1,1,Maryland,https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092,1896-02-07,1896/02/07,https://articleextractor.org/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/0?user_id=6
13317,8137,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,Wisconsin,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245,1913-03-07,1913/03/07,https://articleextractor.org/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/0?user_id=6
5525,8142,0,sn96077142,NA,1896,3,7,seq-2,ed-1,1,Michigan,https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142,1896-03-07,1896/03/07,https://articleextractor.org/pages/8142/mimtptc_jonesville_ver01/sn96077142/1896/03/07/ed-1/seq-2/0?user_id=6
13495,8144,0,sn86092518,"Wheeling register (Wheeling, W. Va...)",1896,1,14,seq-1,ed-1,1,West Virginia,https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518,1896-01-14,1896/01/14,https://articleextractor.org/pages/8144/wvu_isner_ver01/sn86092518/1896/01/14/ed-1/seq-1/0?user_id=6
5778,8145,0,sn83016804,"St. Paul recorder (St. Paul, Minn.)",1938,11,4,seq-2,ed-1,1,Minnesota,https://articleextractor.org/pages/8145/mnhi_dodgeball_ver01/sn83016804,1938-11-04,1938/11/04,https://articleextractor.org/pages/8145/mnhi_dodgeball_ver01/sn83016804/1938/11/04/ed-1/seq-2/0?user_id=6
11666,8149,0,sn85058130,The Salt Lake herald (Salt Lake City ...),1908,1,3,seq-2,ed-1,1,Utah,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130,1908-01-03,1908/01/03,https://articleextractor.org/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/0?user_id=6
6098,8152,0,sn90059523,NA,1896,10,22,seq-2,ed-1,1,Minnesota,https://articleextractor.org/pages/8152/mnhi_iona_ver01/sn90059523,1896-10-22,1896/10/22,https://articleextractor.org/pages/8152/mnhi_iona_ver01/sn90059523/1896/10/22/ed-1/seq-2/0?user_id=6
11167,8153,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,Texas,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201,1893-09-21,1893/09/21,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6
11169,8153,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,Texas,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201,1893-09-21,1893/09/21,https://articleextractor.org/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/0?user_id=6
8459,8155,0,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037,1893-08-04,1893/08/04,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/0?user_id=6
8462,8155,1,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,North Dakota,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037,1893-08-04,1893/08/04,https://articleextractor.org/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/0?user_id=6
