"","year","...2","file_id","date","newspaper_city","newspaper_state","url","sn","month","day","edition","news_address","has_article_highlights","last_modified","num_annotations","flag_irrelevant","flag_bad_layout","flag_other","last_modified_by","last_modified_by_name","state","newspaper","oclc","issn","no_issues","earliest_issue","latest_issue","abbreviation","region","border","newspaper_name","newspaper_state_clean"
"1",1835,8278,15950,1835-09-29,"Richmond","Va","https://articleextractor.org/pages//15950/vi_armani_ver02/sn84024735/1835/09/29/ed-1/seq-4/0?user_id=6","sn84024735",9,29,"ed-1","Richmond,  Va",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Virginia","Richmond enquirer. [volume] (Richmond, Va.) 1815-1867",1764332,"2473-4845",5231,1815-09-20,1867-01-08,"VA","South","Not_Border","Richmond enquirer","VA"
"2",1835,7168,8052,1835-09-08,"Richmond","Va","https://articleextractor.org/pages//8052/vi_naturals_ver01/sn84024735/1835/09/08/ed-1/seq-4/0?user_id=6","sn84024735",9,8,"ed-1","Richmond,  Va",0,2022-09-13 16:51:26,5,0,0,0,0,"null","Virginia","Richmond enquirer. [volume] (Richmond, Va.) 1815-1867",1764332,"2473-4845",5231,1815-09-20,1867-01-08,"VA","South","Not_Border","Richmond enquirer","VA"
"3",1836,8309,15987,1836-07-14,"Brandon",NA,"https://articleextractor.org/pages//15987/vtu_kirby_ver02/sn83025661/1836/07/14/ed-1/seq-4/0?user_id=6","sn83025661",7,14,"ed-1","Brandon , NA",NA,2023-03-11 01:39:21,1,0,0,0,0,"null","Vermont","Vermont telegraph. [volume] (Brandon [Vt.]) 1828-1843",9729963,"2376-8932",397,1836-01-07,1843-10-04,"VT","Northeast","Not_Border","Vermont telegraph","VT"
"4",1836,7161,7522,1836-02-26,NA,NA,"https://articleextractor.org/pages//7522/ohi_carrie_ver01/sn88078471/1836/02/26/ed-1/seq-1/0?user_id=6","sn88078471",2,26,"ed-1","NA, NA",0,2022-10-08 16:55:56,1,0,0,0,0,"null","Ohio","Der Vaterlandsfreund. (Canton, Stark County, Ohio) 1833-1836",17899910,"2641-2683",99,1834-04-18,1836-05-06,"OH","Midwest","Not_Border",NA,"OH"
"5",1837,8293,15967,1837-02-21,NA,NA,"https://articleextractor.org/pages//15967/msar_lightningbolt_ver03/sn87065592/1837/02/21/ed-1/seq-4/0?user_id=6","sn87065592",2,21,"ed-1","NA, NA",0,2023-03-21 15:29:05,0,1,0,0,0,"null","Mississippi","Southern telegraph. (Rodney, Miss.) 1834-1838",15184390,"2470-1718",107,1836-01-01,1838-12-15,"MS","South","Not_Border","Southern telegraph.","MS"
"6",1837,8738,16530,1837-05-20,"Richmond","Wayne","https://articleextractor.org/pages//16530/in_indianapolisolympians_ver02/sn82016416/1837/05/20/ed-1/seq-1/0?user_id=6","sn82016416",5,20,"ed-1","Richmond,  Wayne",0,2023-03-21 15:28:34,0,1,0,0,0,"null","Indiana","Richmond palladium. [volume] (Richmond, Wayne County, Ind.) 1831-1837",9317030,"2572-6986",141,1831-01-08,1837-06-14,"IN","Midwest","Not_Border","Richmond palladium","VA"
"7",1838,8236,15903,1838-08-29,"Brandon",NA,"https://articleextractor.org/pages//15903/vtu_kirby_ver02/sn83025661/1838/08/29/ed-1/seq-4/0?user_id=6","sn83025661",8,29,"ed-1","Brandon , NA",0,2023-03-21 15:56:35,0,1,0,0,0,"null","Vermont","Vermont telegraph. [volume] (Brandon [Vt.]) 1828-1843",9729963,"2376-8932",397,1836-01-07,1843-10-04,"VT","Northeast","Not_Border","Vermont telegraph","VT"
"8",1838,8741,16534,1838-05-23,"New York",NA,"https://articleextractor.org/pages//16534/dlc_laceflower_ver01/sn83030312/1838/05/23/ed-1/seq-2/0?user_id=6","sn83030312",5,23,"ed-1","New York , NA",0,2023-03-21 15:58:53,0,1,0,0,0,"null","New York","Morning herald. [volume] (New York [N.Y.]) 1837-1840",9467104,"2474-3194",922,1837-05-22,1842-02-08,"NY","Northeast","Not_Border","Morning herald","NY"
"9",1839,4852,5058,1839-04-02,"Rutland","Vt","https://articleextractor.org/pages//5058/vtu_adamant_ver01/sn84022355/1839/04/02/ed-1/seq-3/0?user_id=6","sn84022355",4,2,"ed-1","Rutland,  Vt",0,2023-08-20 01:47:02,0,1,0,0,1,"Mohamed Salama","Vermont","Rutland herald. [volume] (Rutland, Vt.) 1823-1847",10366844,"2166-1952",582,1836-01-05,1847-12-29,"VT","Northeast","Not_Border","Rutland herald","VT"
"10",1839,8250,15918,1839-07-18,NA,NA,"https://articleextractor.org/pages//15918/msar_ikat_ver01/sn87065377/1839/07/18/ed-1/seq-3/0?user_id=6","sn87065377",7,18,"ed-1","NA, NA",0,2023-03-21 17:29:42,1,1,0,0,0,"null","Mississippi","Macon intelligencer. (Macon, Miss.) 1838-1840",15649135,"2576-4071",103,1838-05-16,1840-11-07,"MS","South","Not_Border",NA,"MS"
